"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Lecture","Lab","Tutorial","Reading","Research","Notes"
"1","COMP 108","Computer Science C.Edge Option Reflective Learning I","This course is a reflective learning module for students in their related field which is based on their academic requirements and their first C.Edge term.",3,"","","",TRUE,FALSE,FALSE,FALSE,FALSE,""
"2","COMP 208","Computer Science C.Edge Option Reflective Learning II","This course expands on the students’ second C.Edge term in their related field of study to further develop their knowledge and work‑related skills.",3,"","","The following course must be completed previously: COMP 108",TRUE,FALSE,FALSE,FALSE,FALSE,""
"3","COMP 218","Fundamentals of Programming","Computers and computing: problem solving with computers, basic data types, expressions, assignments, control structures, simple library functions, programmer‑defined functions, arrays of basic types. Basic elements of object‑oriented programming: classes, objects and methods.",3,"Students who have received credit for COMP 248 or COEN 243 may not take this course for credit","","The following course must be completed previously: MATH 201 or equivalent",TRUE,FALSE,TRUE,FALSE,FALSE,"This course may not be taken for credit in the regular undergraduate programs in the Gina Cody School of Engineering and Computer Science "
"4","COMP 228","System Hardware","Levels of system abstraction and von Neumann model. Basics of digital logic design. Data representation and manipulation. Instruction set architecture. Processor internals. Assembly language programming. Memory subsystem and cache management. I/O subsystem. Introduction to network organization and architecture.",3,"Students who have received credit for SOEN 228 may not take this course for credit"," The following courses must be completed previously or concurrently: MATH 203 or Cegep Mathematics 103 or NYA; MATH 204 or Cegep Mathematics 105 or NYC","The following course must be completed previously: COMP 248",TRUE,FALSE,TRUE,FALSE,FALSE,""
"5","COMP 232","Mathematics for Computer Science","Sets. Propositional logic and predicate calculus. Functions and relations. Elements of number theory. Mathematical reasoning. Proof techniques: direct proof, indirect proof, proof by contradiction, proof by induction.",3,"Students who have received credit for COMP 238 or COEN 231 may not take this course for credit","","The following courses must be completed previously: MATH 203 or Cegep Mathematics 103 or NYA; MATH 204 or Cegep Mathematics 105 or NYC",TRUE,FALSE,TRUE,FALSE,FALSE,""
"6","COMP 233","Probability and Statistics for Computer Science","Combinatorics. Axioms of probability. Conditional probability. Discrete and continuous probability distributions. Expectation and moments. Hypothesis testing. Parameter estimation. Correlation and linear regression. Applications to computer science.",3,"Students who have received credit for BIOL 322, ENGR 371, STAT 249, STAT 250, COMM 215, MAST 221, MAST 333 may not take this course for credit","","The following course must be completed previously: MATH 205 or Cegep Mathematics 203 or NYB",TRUE,FALSE,TRUE,FALSE,FALSE,""
"7","COMP 248","Object‑Oriented Programming I","Introduction to programming. Basic data types, variables, expressions, assignments, control flow. Classes, objects, methods. Information hiding, public vs. private visibility, data abstraction and encapsulation. References. Arrays.",3.5,"","The following courses must be completed previously or concurrently: MATH 204 or Cegep Mathematics 105 or NYC","",TRUE,TRUE,TRUE,FALSE,FALSE,""
"8","COMP 249","Object‑Oriented Programming II","Design of classes. Inheritance. Polymorphism. Static and dynamic binding. Abstract classes. Exception handling. File I/O. Recursion. Interfaces and inner classes. Graphical user interfaces. Generics. Collections and iterators.",3.5,""," The following courses must be completed previously or concurrently: MATH 205 or Cegep Mathematics 203 or NYB","The following courses must be completed previously: COMP 248; MATH 203 or Cegep Mathematics 103 or NYA",TRUE,TRUE,TRUE,FALSE,FALSE,""
"9","COMP 326","Computer Architecture","Computer architecture models: control‑flow and data‑flow. Concurrency and locality, data dependency theory. Instruction level parallelism. Instruction scheduling. Pipelined processors. Vector processors. Thread level parallelism. Multiprocessors. Shared memory models. Coherence protocols. Interconnection networks. Performance issues. Advanced topics in contemporary computer architectures.",3,"","","The following course must be completed previously: COMP 346",TRUE,FALSE,TRUE,FALSE,FALSE,""
"10","COMP 333","Data Analytics","This course introduces the process of data analytics with the aid of examples from several disciplines. It covers data wrangling: extract-transform-load (ETL), cleaning, structuring, integration; data analytics activities: description, prescription, modelling, simulation, optimization, storytelling; and the Python ecosystem: language, libraries, and Jupyter environment.",4,"","","The following courses must be completed previously: COMP 233 or ENGR 371; COMP 352; ENCS 282",TRUE,TRUE,FALSE,FALSE,FALSE,""
