"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Lecture","Lab","Tutorial","Reading","Research","Notes"
"1","ENCS 272","Composition and Argumentation for Engineers","Description: Fundamentals of English composition and argumentation: grammar; reasoning and persuasion; persuasive proofs; argumentation; structuring and outlining; the problem statement; the body; and the conclusions. Language and persuasion for effective communication in professional engineering. Cultivation of a writing style firmly based on clear and critical thinking skills.",3,"","","",TRUE,FALSE,TRUE,FALSE,FALSE,"This course cannot be used for credit in any GCS degree or certificate program  Students who pass this course with C- or higher will fulfill the GCS writing skills requirement, and will be eligible to enrol in ENCS 282 "
"2","ENCS 282","Technical Writing and Communication","Description: Technical writing form and style. Technical and scientific papers, abstracts, reports. Library research and referencing methods for engineers and computer scientists. Technical communication using information technology: document processing software, computer‑assisted presentation, analysis and design of web presentation, choice and use of appropriate tools. Students will prepare an individual major report and make an oral presentation",3,"","","",TRUE,FALSE,TRUE,FALSE,FALSE,""
"3","ENCS 333","Research Methods, Ethics, Law and Regulation for Computational Biology","Description: The course is comprised of three modules: Research Methods; Ethics; and Intellectual Property, Law and Regulation.",3,"","","The following courses must be completed previously: ENCS 282 or equivalent",TRUE,FALSE,FALSE,FALSE,FALSE,""
"4","ENCS 393","Social and Ethical Dimensions of Information and Communication Technologies","Description:",3,"","","",TRUE,FALSE,FALSE,FALSE,FALSE,""
"5","ENCS 483","Creativity, Innovation and Critical Thinking in Science and Technology","Description: Understanding, thinking, arguing, and creativity in science and technology; analyzing and critiquing complex problems using multidisciplinary theories of creativity; exploring the processes of invention and innovation and their impact on economics, popular media, and social and cultural structures; case studies of why some inventions fail and others succeed. Students will be evaluated on case studies, assignments, and a project.",3,"Students who have received credit for ENCS 283 may not take this course for credit","","",TRUE,FALSE,FALSE,FALSE,FALSE,""
"6","ENCS 484","Development and Global Engineering","Description: International development and global engineering: globalization; development projects; planning and analysis; and participatory data gathering. A project.",3,"Students who have received credit for this topic under an ENCS 498 number may not take this course for credit","","",TRUE,FALSE,FALSE,FALSE,FALSE,""
"7","ENCS 485","Field Course in Engineering and Sustainable Development","Description: This is a complementary field course for undergraduate students interested in areas of international development and global engineering. The course consists of lectures at Concordia University followed by a trip to a designated location where development is underway. Topics include location and context‑specific history and evolution of development, globalization, sustainability initiatives, technological planning and analysis, and participatory data gathering. Students are required to complete a project‑based research paper on a topic approved by the course instructor.",3,"","","",TRUE,FALSE,FALSE,FALSE,FALSE,"Students from other Faculties may register for this course with permission from the course instructor "
"8","ENCS 498","Topics in Engineering and Computer Science","Description: This course may be offered in a given year upon the authorization of the Gina Cody School of Engineering and Computer Science. The course content may vary from offering to offering.",3,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,""
"9","ENGR 108","Engineering C.Edge Option Reflective Learning I","Description: This course is a reflective learning module for students in their related field which is based on their academic requirements and their first C.Edge term.",3,"","","",TRUE,FALSE,FALSE,FALSE,FALSE,""
"10","ENGR 201","Professional Practice and Responsibility","Description: Health and safety issues for engineering projects: Quebec and Canadian legislation; safe work practices; general laboratory safety common to all engineering disciplines, and specific laboratory safety pertaining to particular engineering disciplines. Review of the legal framework in Quebec, particularly the Professional Code and the Engineers Act, as well as professional ethics.",1.5,"","","",TRUE,FALSE,TRUE,FALSE,FALSE,""
"11","ENGR 202","Sustainable Development and Environmental Stewardship","Description: Introduction to the concept of sustainable development and the approaches for achieving it. Relationships with economic, social, and technological development. Methods for evaluating sustainability of engineering projects, including utilization of relevant databases and software. Impact of engineering design and industrial development on the environment. Case studies.",1.5,"","","",TRUE,FALSE,FALSE,FALSE,FALSE,""
"12","ENGR 208","Engineering C.Edge Option Reflective Learning II","Description: This course expands on the students’ second C.Edge term in their related field of study to further develop their knowledge and work‑related skills.",3,"","","The following course must be completed previously: ENGR 108",TRUE,FALSE,FALSE,FALSE,FALSE,""
"13","ENGR 213","Applied Ordinary Differential Equations","Description: This course introduces Engineering students to the theory and application of ordinary differential equations. Definition and terminology, initial‑value problems, separable differential equations, linear equations, exact equations, solutions by substitution, linear models, orthogonal trajectories, complex numbers, form of complex numbers: powers and roots, theory: linear equations, homogeneous linear equations with constant coefficients, undetermined coefficients, variation of parameters, Cauchy‑Euler equation, reduction of order, linear models: initial value, review of power series, power series solutions, theory, homogeneous linear systems, solution by diagonalization, non‑homogeneous linear systems. Eigenvalues and eigenvectors.",3,"","","",TRUE,FALSE,TRUE,FALSE,FALSE,""
"14","ENGR 233","Applied Advanced Calculus","Description: This course introduces Engineering students to the theory and application of advanced calculus. Functions of several variables, partial derivatives, total and exact differentials, approximations with differentials. Tangent plane and normal line to a surface, directional derivatives, gradient. Double and triple integrals. Polar, cylindrical, and spherical coordinates. Change of variables in double and triple integrals. Vector differential calculus; divergence, curl, curvature, line integrals, Green’s theorem, surface integrals, divergence theorem, applications of divergence theorem, Stokes’ theorem",3,"","","The following course must be completed previously: MATH 204 (Cegep Mathematics 105); MATH 205 (Cegep Mathematics 203)",TRUE,FALSE,TRUE,FALSE,FALSE,""
"15","ENGR 242","Statics","Description: Resultant of force systems; equilibrium of particles and rigid bodies; distributed forces; statically determinate systems; trusses; friction; moments of inertia; virtual work. Shear and bending moment diagrams.",3,"","The following course must be completed previously or concurrently: ENGR 213","",TRUE,FALSE,TRUE,FALSE,FALSE,""
"16","ENGR 243","Dynamics","Description: Kinematics of a particle and rigid body; forces and accelerations; work and energy; impulse and momentum; dynamics of a system of particles and rigid bodies, introduction to vibrations.",3,"","","The following courses must be completed previously: ENGR 213, ENGR 242",TRUE,FALSE,TRUE,FALSE,FALSE,""
"17","ENGR 244","ENGR 244 Mechanics of Materials (3.75 credits)","Description: Mechanical behaviour of materials; stress; strain; shear and bending moment diagrams; introduction to inelastic action. Analysis and design of structural and machine elements subjected to axial, torsional, and flexural loadings. Combined stresses and stress transformation. Deflections. Introduction to elastic stability.",3.75,""," The following courses must be completed previously or concurrently: ENGR 233","The following courses must be completed previously: ENGR 213; ENGR 242 or ENGR 245",TRUE,TRUE,TRUE,FALSE,FALSE,""
"18","ENGR 245","Mechanical Analysis","Description: Forces in a plane and in space, moments of forces, Varignon’s theorem, rigid bodies in equilibrium, free‑body diagram. Centroids, centres of gravity. Distributed forces, moments of inertia. Principle of virtual work. Kinematics of particles and rigid bodies. Forces and accelerations; work and energy; impulse and momentum. Kinetics of particles and rigid bodies.",3,""," The following course must be completed previously or concurrently: ENGR 213","The following course must be completed previously: PHYS 204",TRUE,FALSE,TRUE,FALSE,FALSE,""
