"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Lecture","Lab","Tutorial","Reading","Research","Notes"
"1","ACTU 256","Mathematics of Finance","Measurement of interest; annuities and perpetuities; amortization and sinking funds; rates of return; bonds and related securities; life insurance.",3,"Students who have received credit for MATH 326 may not take this course for credit","","The following course must be completed previously: MATH 264 previously or concurrently",TRUE,FALSE,FALSE,FALSE,FALSE,"Only three credits will be awarded from ACTU 256; MAST 335 "
"2","ACTU 257","Actuarial Mathematics I","Measurement of mortality; pure endowments; life insurance; net single premiums; life annuities; net annual premiums; special topics.",3,"Students who have received credit for MATH 327 may not take this course for credit","","The following course must be completed previously: ACTU 256",TRUE,FALSE,FALSE,FALSE,FALSE,""
"3","ACTU 286","Actuarial Mathematics Lab I","This lab features problem‑solving sessions for the professional examination on financial mathematics of the Society of Actuaries and the Casualty Actuarial Society.",1,"Students who have received credit for MATH 229 may not take this course for credit","","",FALSE,TRUE,FALSE,TRUE,FALSE,""
"4","ACTU 357","Actuarial Mathematics II","Net level premium reserves; multiple life functions; multiple decrements, the expense factor; special topics.",3,"Students who have received credit for MATH 427 may not take this course for credit","","The following course must be completed previously: ACTU 257",TRUE,FALSE,FALSE,FALSE,FALSE,""
"5","ACTU 386","Actuarial Mathematics Lab II","This lab will feature the use of programming languages and software applications.",2,"Students who have received credit for MATH 232 may not take this course for credit","","",FALSE,TRUE,FALSE,FALSE,FALSE,""
"6","ACTU 456","Pension Mathematics","",3,"","","The following course must be completed previously: ACTU 357",TRUE,FALSE,FALSE,FALSE,FALSE,""
"7","ACTU 457","Risk Theory","Applications of contingency theory in health insurance, individual and collective risk theory, ruin theory.",3,"Students who have received credit for MATH 428 may not take this course for credit","","The following course must be completed previously: ACTU 257",TRUE,FALSE,FALSE,FALSE,FALSE,""
"8","ACTU 458","Credibility Theory","Credibility approach to inference for heterogeneous data; classical, regression and Bayesian models; illustrations with insurance data.",3,""," The following course must be completed previously or concurrently: STAT 349","The following course must be completed previously: ACTU 457",TRUE,FALSE,FALSE,FALSE,FALSE,""
"9","ACTU 459","Loss Distributions","Probability model fitting to loss data; estimation and testing under variety of procedures and sampling designs.",3,"","","The following courses must be completed previously: ACTU 457; and STAT 360",TRUE,FALSE,FALSE,FALSE,FALSE,""
"10","ACTU 486","Actuarial Mathematics Lab III","This lab will be a workshop designed to prepare students for the Actuarial Models examination of the Society of Actuaries and the Casualty Actuarial Society.",2,"Students who have received credit for MATH 429 may not take this course for credit","","",FALSE,TRUE,FALSE,FALSE,FALSE,""
"11","ACTU 491","Topics in Actuarial Mathematics","Specific topics for this courses, and relevant prerequisites, are stated in the Undergraduate Class Schedule.",3,"","","",TRUE,FALSE,FALSE,FALSE,FALSE,"The content varies from term to term and from year to year  Students may re-register for this course, provided the course content has changed  Changes in content are indicated by the title of the course "
"12","ACTU 492","Reading Course in Actuarial Mathematics","Specific topics for this courses, and relevant prerequisites, are stated in the Undergraduate Class Schedule.",3,"","","",TRUE,FALSE,FALSE,FALSE,FALSE,"The content varies from term to term and from year to year  Students may re-register for this course, provided the course content has changed  Changes in content are indicated by the title of the course "
"13","ACTU 493","Honours Project in Actuarial Mathematics","Specific topics for this courses, and relevant prerequisites, are stated in the Undergraduate Class Schedule.",6,"","","",FALSE,FALSE,FALSE,FALSE,TRUE,""
"14","MACF 301","Introduction to Quantitative Finance","This course is an introduction to topics related to quantitative finance. Topics may include: financial derivatives, binomial option pricing models, Black-Scholes option pricing model, derivatives risk management, mean-variance portfolio theory, asset pricing models, investment risks, and behavioral finance.",3,"Students who have received credit for FINA 385 may not take this course for credit","","The following courses must be completed previously: MAST 218 or MATH 264; MAST 221 or STAT 249",TRUE,FALSE,FALSE,FALSE,FALSE,""
"15","MACF 401","Mathematical and Computational Finance I","This course is a rigorous introduction to the theory of mathematical and computational finance. Topics include multi-period binomial model; state prices; change of measure; stopping times; European and American derivative securities; interest-rate models; interest-rate derivatives; hedging; and convergence to the Black-Scholes model.",3,"","","The following courses must be completed previously: MATH 264 or MAST 218; STAT 349 or MAST 223; MACF 301 or FINA 385",TRUE,FALSE,FALSE,FALSE,FALSE,""
"16","MACF 402","Mathematical and Computational Finance II","This course is a continuation of MACF 401 and focuses on modelling and computational techniques beyond the binomial model. Topics include simulation; Monte- Carlo methods in finance; option valuation; hedging; heat equation; finite difference techniques; stability and convergence; exotic derivatives; risk management; and calibration and parameter estimation.",3,"","","The following courses must be completed previously: MACF 401",TRUE,FALSE,FALSE,FALSE,FALSE,""
"17","MACF 491","Topics in Mathematical and Computational Finance","Specific topics for this courses, and relevant prerequisites, are stated in the Undergraduate Class Schedule.",3,"","","",TRUE,FALSE,FALSE,FALSE,FALSE,"The content varies from term to term and from year to year  Students may re-register for this course, provided the course content has changed  Changes in content are indicated by the title of the course "
"18","MACF 492","Reading Course in Mathematical and Computational Finance","Specific topics for this courses, and relevant prerequisites, are stated in the Undergraduate Class Schedule.",3,"","","",FALSE,FALSE,FALSE,TRUE,FALSE,"The content varies from term to term and from year to year  Students may re-register for this course, provided the course content has changed  Changes in content are indicated by the title of the course "
"19","MATH 200","Fundamental Concepts of Algebra","This course is designed to give students the background necessary for MATH 201. Some previous exposure to algebra is assumed. Sets, algebraic techniques, inequalities, graphs of equations.",3,"Students who have received credit or exemption for a course at the level of MATH 201 or above may not take this course for credit","","",TRUE,FALSE,FALSE,FALSE,FALSE,"Students in programs leading to the BSc degree or the BA programs in Mathematics and Statistics may not take this course for credit to be applied to their program of concentration "
"20","MATH 201","Elementary Functions","Sets, inequalities, graphs of functions, and relations. Trigonometric, exponential, and logarithmic functions.",3,"Students who have received credit or exemption for MATH 203 or equivalent, or for a course having MATH 203 or equivalent in its sequence of prerequisites, may not take this course for credit","","",TRUE,FALSE,TRUE,FALSE,FALSE,"Students in programs leading to the BSc degree or the BA programs in Mathematics and Statistics may not take this course for credit to be applied to their program of concentration "
"21","MATH 202","College Algebra","Progressions, combinations, permutations, binomial theorem, mathematical induction, inequalities, polynomials, cartesian and polar forms of complex numbers, conics.",3,"Students who have received credit or an exemption for a course at the level of ACTU 256 or above; MAST 218 or above; MATH 251 or above; STAT 249 or above; or for a course having any of these courses in its sequence of prerequisites, may not take this course for credit","","The following course must be completed previously: MATH 201 or equivalent",TRUE,FALSE,TRUE,FALSE,FALSE,"Students in programs leading to the BSc degree or the BA programs in Mathematics and Statistics may not take this course for credit to be applied to their program of concentration "
"22","MATH 203","Differential and Integral Calculus I","Functional notation. Differentiation of polynomials. The power, product, quotient, and chain rules. Differentiation of elementary functions. Implicit differentiation. Higher derivatives. Maxima and minima. Applications: tangents to plane curves, graphing, related rates. Approximations using the differential. Antiderivatives, definite integrals, area.",3,"Students who have received credit or an exemption for a course at the level of ACTU 256 or above; MAST 218 or above; MATH 251 or above; STAT 249 or above; or for a course having any of these courses in its sequence of prerequisites, may not take this course for credit","","The following course must be completed previously: MATH 201 or equivalent",TRUE,FALSE,TRUE,FALSE,FALSE,"Students in programs leading to the BSc degree or the BA programs in Mathematics and Statistics may not take this course for credit to be applied to their program of concentration "
"23","MATH 204","Vectors and Matrices","Algebra and geometry of vectors, dot and cross products, lines and planes. System of equations, operations on matrices, rank, inverse, quadratic form, and rotation of axes.",3,"Students who have received credit or an exemption for a course at the level of ACTU 256 or above; MATH 218 or above; MATH 251 or above; STAT 249 or above; or for a course having any of these courses in its sequence of prerequisites, may not take this course for credit","","The following course must be completed previously: MATH 201 or equivalent",TRUE,FALSE,TRUE,FALSE,FALSE,"Students in programs leading to the BSc degree or the BA programs in Mathematics and Statistics may not take this course for credit to be applied to their program of concentration "
"24","MATH 205","Differential and Integral Calculus II","Techniques of integration: substitutions, integration by parts, partial fractions. Improper integrals. Physical applications of the definite integral. Infinite series: tests for convergence. Power series, Taylor’s theorem.",3,"Students who have received credit or an exemption for a course at the level of ACTU 256 or above; MAST 218 or above; MATH 251 or above; STAT 249 or above; or for a course having any of these courses in its sequence of prerequisites, may not take this course for credit","","The following course must be completed previously: MATH 203 or equivalent",TRUE,FALSE,TRUE,FALSE,FALSE,"Students in programs leading to the BSc degree or the BA programs in Mathematics and Statistics may not take this course for credit to be applied to their program of concentration "
"25","MATH 206","Algebra and Functions","Coordinate systems. Radicals and distance formula. Polynomials, factoring, and graphing. Relations and functions. Linear and quadratic functions, equations, and systems. Exponents, exponential and logarithmic functions and equations.",3,"Students who have received credit or exemption for a course at the level of MATH 201 or above may not take this course for credit","","",TRUE,FALSE,TRUE,FALSE,FALSE,"Students in programs leading to the BSc degree or the BA programs in Mathematics and Statistics may not take this course for credit to be applied to their program of concentration "
"26","MATH 208","Fundamental Mathematics I","This course is a prerequisite course for John Molson School of Business students*. Matrices, Gaussian elimination, input‑output analysis, progressions, compound interest, annuities, permutations and combinations, probability, binomial theorem, exponential and logarithmic functions, inequalities, linear programming.",3,"Students who have received credit or an exemption for a course at the level of ACTU 256 or above; MAST 218 or above; MATH 251 or above; STAT 249 or above; or for a course having any of these courses in its sequence of prerequisites, may not take this course for credit","","The following course must be completed previously: MATH 206 or equivalent",TRUE,FALSE,FALSE,FALSE,FALSE,"Students in programs leading to the BSc degree or the BA programs in Mathematics and Statistics may not take this course for credit to be applied to their program of concentration See Mature Entry and Section 61 20 Admission Requirements "
"27","MATH 209","Fundamental Mathematics II","This course is a prerequisite course for John Molson School of Business students*. Limits; differentiation of rational, exponential, and logarithmic functions; theory of maxima and minima; integration.",3,"Students who have received credit or exemption for MATH 203 or equivalent may not take this course for credit","","The following course must be completed previously: MATH 206 or equivalent",TRUE,FALSE,FALSE,FALSE,FALSE,"Students in programs leading to the BSc degree or the BA programs in Mathematics and Statistics may not take this course for credit to be applied to their program of concentration See Mature Entry and Section 61 20 Admission Requirements "
"28","MATH 212","The Fascinating World of Numbers","This course deals with a blend of fascinating mathematical themes in various contexts: historical, cultural, and practical. It is intended for non‑mathematics students. One of the aims of the course is to demonstrate the presence of mathematics and mathematical ideas in many aspects of modern life. At a deeper level, it is also intended to explain what mathematics is all about and why some easily stated assertions, such as Fermat’s last theorem, are so difficult to prove. Students who complete the course successfully should have enough understanding and knowledge of fundamental ideas and techniques of mathematics to appreciate its power, its beauty, and its relevance in so many different fields such as architecture, art, commerce, engineering, music, and all of the sciences.",3,"Students who have received credit for this topic under a MATH 298 number may not take this course for credit","","",TRUE,FALSE,FALSE,FALSE,FALSE,"Students enrolled in a Mathematics and Statistics program and students who have taken mathematics beyond the pre-calculus level may not take this course for credit "
