"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Hours","Lecture","Lab","Tutorial","Note"
"1","BU111","Understanding the Business Environment","This course highlights challenges in the external business environment with a focus on their impact on business decisions. Topics include competitive analysis, and an in-depth examination of political, economic, social, and technological factors. Students will apply their knowledge and strengthen critical thinking and analytical skills using cases, identifying and researching the feasibility of business solution proposals. The course includes a required weekly lab in which research, writing, teamwork, and individual and group presentation skills are also developed.",3,"MB105","","","Hours per week:Lecture/Discussion: 3Lab: 1.5",TRUE,TRUE,FALSE,""
"2","BU121","Functional Areas of the Organization","This course provides an overview to the functional areas of a business; specifically marketing, finance, operations, and human resources. The areas will be examined using an integrative model and by focusing on current issues such as sustainability. Students will apply their knowledge using cases, and by developing a business plan for a new venture. The course includes a required weekly lab in which teamwork, business writing, critical thinking, and individual and group presentation skills are also developed.",3,"ENTR100, MB105.","","","Hours per week:Lecture/Discussion: 3Lab: 1.5",TRUE,TRUE,FALSE,""
"3","BU127","Introduction to Financial Accounting","A study of basic accounting principles with emphasis on the recording, reporting and interpretation of financial data.",3,"BU227, MB207.","","","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,"Exclusions do not constitute equivalency."
"4","BU205","Introduction to Applied Statistics","An introduction to probability and statistics is the objective of this course. Topics include descriptive statistics, probability and probability distributions, sampling, estimation, hypothesis testing, analysis of variance, chi-square tests and simple and multiple regression. The emphasis will be on business applications. The computer will be used extensively.",3,"BU255, EC205, EC255, EC285, ST260.","","","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
"5","BU208","Interpersonal Communication","An introductory course designed to improve the student's ability to communicate effectively within an organizational context.",3,"Honours BBA, JN109, MB109/OL109, OL/MB200","","","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
"6","BU223","Fundamentals of Finance","This course is designed to give non-business students an understanding of the fundamentals of finance. The course introduces students to the time value of money and its application to securities valuation in finance. Other topics covered include the risk and return trade off, basic capital budgeting, firm debt and dividend policies, financial ratios and external growth through mergers and acquisitions.",3,"Honours BBA program, BU283, MB307. Students may not take BU223 following the completion of BU283. If taken in that order, credit will be lost for BU283.","","BU111, BU127, and BU205 (or EC205), or EC285, or any of ST230, ST231, PS296, SY382, (or a program-specific equivalent).","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,"Exclusions do not constitute equivalency."
"7","BU225","Fundamentals of Operations","An introduction to foundational concepts and practical methods used in designing and running the operations of manufacturing and service firms. The course focuses on how operations managers interact with other business functions, especially marketing and finance, and their role in setting and achieving strategic business goals.",3,"BU375, Honours BBA program, MB305, Honours BTM (Brantford) program. Students may not take BU225 following the completion of BU375. If taken in that order, credit will be lost for BU375.","","One of: BU205 (or EC205), EC285, MA141, PS296, ST230, ST231, SY382 or equivalent.","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
"8","BU231","Business Law","This is a practical course in business law and deals with the basic legal principles in those areas of the law considered essential for the business student. Emphasis is placed on the law of contract, Canadian legal institutions, tort law, business associations, business transactions, and various types of contracts found in the context of business relations. Where possible actual court decisions are studied so the student will be made aware of the judicial approach in dealing with particular problems.",3,"MB237.","","","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
"9","BU233","Personal Finance","This course is designed as an introductory study of the stock market and investing. The course emphasizes personal portfolio management to achieve a greater degree of sophistication, security and knowledge.",3,"Honours BBA (Bachelor of Business Administration) and BBTM (Bachelor of Business Technology Management) programs.","","","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,"This course cannot be taken for degree credit, within the BBA or BBTM programs."
"10","BU247","Managerial Accounting","A study of the reports, statements and analytical tools used by management, and the manner in which these are applied in planning, controlling, decision-making and performance evaluation.",3,"MB217.","","BU127, (formerly BU227).","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,"Exclusions do not constitute equivalency. Administration Option courses cannot be applied to any other Business program."
