"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Hours","Lecture","Lab","Tutorial","Note"
"1","CP102","Information Processing with Microcomputer Systems","An introduction to the concepts of microcomputer hardware and software applications in a hands-on environment. Topics include the history of technological innovation in microcomputer systems, design and operation, input/output devices, storage media and techniques, communications, operating systems, word processors, spreadsheets, presentation software, database management and system utilities. (Online Learning only)",3,"BU115, BU155, MB115; registration in BA or BSc programs in computer science, data science or physics; Comp Sc 100 (U of Waterloo).","","","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
"2","CP103","Principles of Computer Programming","Introduce non Computer Science students to basic computer programming techniques. Emphasis is on problem-solving and structured program design methodologies. Programming projects are implemented in a widely used high-level language",3,"CP104; registration in Honours Computer Science or Honours Data Science programs","","","Hours per week:Lecture/Discussion: 3Lab: 2.5",TRUE,TRUE,FALSE,"Cannot be used as credit for the Minor in Computer Science, or any Computer Science or Data Science program"
"3","CP104","Introduction to Programming","An introductory course designed to familiarize the student with modern software development techniques. Emphasis is on problem-solving and structured program design methodologies. Programming projects are implemented in a widely used high-level language.",3,"","","","Hours per week:Lecture/Discussion: 3Lab: 2.5",TRUE,TRUE,FALSE,""
"4","CP164","Data Structures I","Introduction to the study of data structures and their applications. Recursion, searching, sorting. Queues, stacks, heaps. Introduction to the analysis of algorithms, big ""O"" notation.",3,"CP114.","","CP104.","Hours per week:Lecture/Discussion: 3Lab: 2.5",TRUE,TRUE,FALSE,""
"5","CP202","Website Design","This course provides an in depth understanding of website design and administration, short of server-side programming. Emphasis is on standards, good design practices, accessibility, and tools. By the end of the course students should have the skills to administer a website, deal with security issues, design readable, informative, attractive and accessible web pages that fit current standards, and apply a logical and consistent navigational scheme to an entire website.",3,"Registration in BA or BSc programs in computer science or data science.","","CP102 or CP104.","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
"6","CP212","Windows Application Programming","This course is designed for students who have a basic understanding of spreadsheets, word processors, and databases as well as introductory programming experience. The course introduces methods to automate repetitive tasks and create user-friendly applications in spreadsheets, word processors, and databases using the powerful macro language, Visual Basic for Applications (VBA). Topics include: a review of programming constructs such as data types, looping, conditional statements, and arrays; the design of graphical interfaces with the typical ""look and feel"" of Windows software; the design of dialog boxes with controls and event handling code that responds to user input; automating tasks; consolidating data; providing user-friendly reports.",3,"","","CP102 and previous programming experience, or CP104.","Hours per week:Lecture/Discussion: 3Lab: 1",TRUE,TRUE,FALSE,""
"7","CP213","Introduction to Object-Oriented Programming","Fundamentals of object-oriented programming, classes, subclasses, inheritance, references, overloading, event-driven and concurrent programming, using modern application programming interface. The language Java will be used.",3,"","","CP164 (or CP114).","Hours per week:Lecture/Discussion: 3Lab: 1",TRUE,TRUE,FALSE,""
"8","CP214","Discrete Structures for Computer Science","Finite and discrete algebraic structures relating to computers: sets, functions, relations. Machine-oriented logic. Topics include: propositional and predicate calculus, Boolean algebra, combinatorial counting (including Pigeonhole principle, permutations and combinations), recurrence equations, applications of recurrence equations in sorting algorithms, relations (including equivalence relations, partial orders), algorithms to generate permutations and combinations, induction and recursive programs, correctness proofs for both recursive and iterative program constructions, countable and uncountable sets, Cantors theorem, introduction to graph theory and graph algorithms.",3,"","","CP164","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
"9","CP216","Introduction to Microprocessors","A comprehensive study of a current commercial microprocessor, its architecture and assembly language. Emphasis on (1) the relationship between architecture, assembly language and system operation, and (2) the relationship between assembly language, high level languages and operating systems.",3,"","","CP220/PC220 (or CP120/PC120) and CP164 (or CP114)","Hours per week:Lecture/Discussion: 3Lab: 1",TRUE,TRUE,FALSE,""
"10","CP220","Digital Electronics","Introduction to digital logic: logic gates, combinational circuit analysis using Boolean algebra and Karnaugh maps, number systems and codes, minimization techniques applied to combinational logic systems; flip-flops, multivibrators, counters and shift registers. (Cross-listed as PC220.)",3,"CP120/PC120.","","CP164 and registration in Computer Science.","Hours per week:Lecture/Discussion: 3Lab: 1.5",TRUE,TRUE,FALSE,""
