"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Hours","Lecture","Lab","Tutorial","Note"
"1","MA100","Introductory Calculus for the Natural Sciences","This course concentrates on developing mastery of pre-calculus and introductory calculus skills and techniques. Pre-calculus topics include: solving equations and inequalities; algebraic, trigonometric, logarithmic and exponential functions and their properties. Calculus topics include: rates of change and tangents; differentiation of algebraic, trigonometric, exponential and logarithmic functions; integration; and techniques of integration.",3,"Prior credit for, or current enrollment in, any of MA101, MA102, MA103, MA110*, MA129. This course may not count for credit in Mathematics programs.","","SC101, or a minimum score of 50% on the Calculus Preparation Evaluation (CPE) and 12U Advanced Functions.","Hours per week:Lecture/Discussion: 3Lab: 1.5",TRUE,TRUE,FALSE,""
"2","MA101","Calculus I for the Natural Sciences","Review of algebra and trigonometry. Differential calculus of the algebraic, exponential, logarithmic, trigonometric and inverse trigonometric functions of a single variable; introduction to integral calculus; techniques of integration. Introduction to ordinary differential equations. Polar coordinates. Complex numbers. Applications to problems in the natural sciences are emphasized.",3,"Prior credit for, or current enrollment in, any of: MA103, MA110*. This course may not count for credit in Mathematics programs.","","MA100 or permission of the department.","Hours per week:Lecture/Discussion: 3Lab: 1.5",TRUE,TRUE,FALSE,""
"3","MA102","Introduction to Functions and Differential Calculus","Rational, algebraic, trigonometric, logarithmic and exponential functions; equations and inequalities involving them. Thorough introduction to limits of functions. Continuity and its consequences. Introduction to differential calculus.",3,"Prior credit for, or current enrollment in, any of MA100, MA101, MA103, MA110*, MA129.","","Completion of the Calculus Preparation Evaluation (CPE) and 12U Advanced Functions.","Hours per week:Lecture/Discussion: 3Lab: 1.5",TRUE,TRUE,FALSE,"Unlike MA103, MA102 does not have Grade 12 Calculus as a prerequisite."
"4","MA103","Calculus I","Limits and continuity; differential and integral calculus of functions of a single variable; the Mean Value Theorem; determination of extrema; the Fundamental Theorem of Calculus and techniques of integration; introduction to series.",3,"MA101, MA110*.","","MA102, or a minimum score of 75% on the Calculus Preparation Evaluation (CPE) and one of MA100, MA129, Grade 12 Calculus.","Hours per week:Lecture/Discussion: 3Lab: 1.5",TRUE,TRUE,FALSE,""
"5","MA104","Calculus II","Applications of integration; polar coordinates and parametric equations; infinite sequences and series; applications of partial derivatives.",3,"MA200.","","MA101 or MA103.","Hours per week:Lecture/Discussion: 3Lab: 1.5",TRUE,TRUE,FALSE,""
"6","MA120","Introduction to Discrete Structures","Introduction to sets, functions and relations; elementary logic including logical connectives; proof techniques and induction; basic number theory and applications; basic counting and combinatorics.",3,"MA121.","","","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
"7","MA121","Introduction to Mathematical Proofs","An introduction to proofs and to mathematical writing. Methods of proof, such as direct proofs, proofs by contradiction, contrapositive proofs, counterexamples and mathematical induction. Examples of proofs will be illustrated using sets, functions and elementary number theory. Use of precise mathematical language will be emphasized.",3,"MA120.","","0.5 credit in MA (one of MA101, MA102, MA103, MA122, or MA170)","Hours per week:Lecture/Discussion: 3Lab: 1",TRUE,TRUE,FALSE,""
"8","MA122","Introductory Linear Algebra","Vector geometry in R² and R³ ; the vector space Rn and its subspaces; spanning sets, linear independence, bases and dimension; dot product in Rn ; systems of linear equations and Gaussian elimination; matrices and matrix operations, matrix inverse; matrix rank; linear transformations in Rn ; introduction to determinants, Cramer's rule; introduction to eigenvalues, eigenvectors and diagonalization of real matrices; applications of linear algebra.",3,"","","","Hours per week:Lecture/Discussion: 3Lab: 1",TRUE,TRUE,FALSE,""
"9","MA127","Mathematics for Business Technology Management","This course covers the basic mathematical concepts used in business. Topics will include basic algebra; ratios; solving and manipulating equations; functions and graphs; inequalities; introduction to linear algebra and matrices; inverse of a matrix; an introduction to linear programming; simple and compound interest; annuities.",3,"This course does not satisfy mathematics requirements outside of the Business Technology Management program.","Honours Business Technology Management program","Grade 12 U-level math course or equivalent.","Hours per week:Lecture/Discussion: 3Tutorial/Seminar: 1.5",TRUE,FALSE,TRUE,"This course should not be counted towards qualifying for a teachable in mathematics."
"10","MA129","Introductory Calculus for Business and Social Sciences","This course concentrates on developing mastery of pre-calculus and introductory calculus skills and techniques. Pre-calculus topics include: solving equations and inequalities; algebraic, logarithmic and exponential functions and their properties; matrix representation and solution of systems of linear equations. Calculus topics include: rates of change and tangents; differentiation of algebraic, exponential and logarithmic functions; optimization; introduction to integration.",3,"Prior credit for, or current enrollment in, any of: MA100, MA101, MA102, MA103, MA110*. This course may not count for credit in mathematics programs. This course may not count for credit in mathematics programs.","","Completion of the Calculus Preparation Evaluation (CPE) and 12U Advanced Functions or permission of the department.","Hours per week:Lecture/Discussion: 3Lab: 1.5",TRUE,TRUE,FALSE,""
"11","MA170","Introduction to Mathematics for Finance","An introduction to the theory of interest. Mathematical models and their analysis for problems involving fixed interest rates. Simple and compound interest. Cash flows, annuities, amortization and sinking funds. (Zero-)coupon bonds.",3,"","","12U Advanced Functions, or equivalent, or permission of the department.","Hours per week:Lecture/Discussion: 3Lab: 1.5",TRUE,TRUE,FALSE,""
"12","MA200","Advanced Calculus","Infinite sequences and series; Taylor and Maclaurin series; partial derivatives (limits and continuity, tangent planes, linear approximations, chain rule, directional derivative, gradient, max/min values, Lagrange multipliers); multiple integrals (double integrals, iterated integrals, triple integrals, polar/spherical coordinates).",3,"MA104 and MA201.","","MA122 and one of MA101, MA103.","Hours per week:Lecture/Discussion: 3Lab: 1.5 (biweekly)",TRUE,TRUE,FALSE,""
"13","MA201","Multivariable Calculus","Vector functions; differential and integral calculus of functions of several variables, including vector fields; line and surface integrals including Green's Theorem, Stokes' Theorem and the Divergence Theorem.",3,"MA200.","","MA122, and one of MA101, MA103. MA104 is recommended.","Hours per week:Lecture/Discussion: 3Lab: 1.5 (biweekly)",TRUE,TRUE,FALSE,""
"14","MA205","Differential Equations I","First order differential equations; linear differential equations of second and higher order; methods of undetermined coefficients and variation of parameters; Laplace transforms; power series solutions.",3,"","","MA101 or MA103.","Hours per week:Lecture/Discussion: 3Lab: 1.5 (biweekly)",TRUE,TRUE,FALSE,""
