"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Hours","Lecture","Lab","Tutorial","Note"
"1","BU111","Understanding the Business Environment","This course highlights challenges in the external business environment with a focus on their impact on business decisions. Topics include competitive analysis, and an in-depth examination of political, economic, social, and technological factors. Students will apply their knowledge and strengthen critical thinking and analytical skills using cases, identifying and researching the feasibility of business solution proposals. The course includes a required weekly lab in which research, writing, teamwork, and individual and group presentation skills are also developed.",3,"MB105 ","","","Hours per week:Lecture/Discussion: 3Lab: 1.5",TRUE,TRUE,FALSE,""
"2","ENTR100","Introduction to Business Principles for Entrepreneurs","This course is designed to provide non-business students that want to pursue entrepreneurship and the entrepreneurship core, the key foundational business knowledge they need to succeed in their own start-ups. Course material will cover the business environment, and basic accounting, finance, marketing, human resources, and operational principles. Exercises and assignments will also focus on soft skill development such as team, presentation, and negotiating skills.",3,"BU121, MB105","","","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
"3","CP104","Introduction to Programming","An introductory course designed to familiarize the student with modern software development techniques. Emphasis is on problem-solving and structured program design methodologies. Programming projects are implemented in a widely used high-level language.",3,"","","","Hours per week:Lecture/Discussion: 3Lab: 2.5",TRUE,TRUE,FALSE,""
"4","CP164","Data Structures I","Introduction to the study of data structures and their applications. Recursion, searching, sorting. Queues, stacks, heaps. Introduction to the analysis of algorithms, big ""O"" notation.",3,"CP114","","CP104","Hours per week:Lecture/Discussion: 3Lab: 2.5",TRUE,TRUE,FALSE,""
"5","CP213","Introduction to Object-Oriented Programming","Fundamentals of object-oriented programming, classes, subclasses, inheritance, references, overloading, event-driven and concurrent programming, using modern application programming interface. The language Java will be used.",3,"","","CP164 (or CP114)","Hours per week:Lecture/Discussion: 3Lab: 1",TRUE,TRUE,FALSE,""
"6","CP264","Data Structures II","A continuation of the study of data structures and their applications using C. Linked lists, binary search trees, balanced search trees. Hashing, collision-avoidance strategies. Data structures for graphs and elementary graph algorithms. A continuation of basic algorithm analysis.",3,"CP217","","CP164 (or CP114)","Hours per week:Lecture/Discussion: 3Lab: 1",TRUE,TRUE,FALSE,""
"7","CP312","Algorithm Design and Analysis I","Analysis of the best, average and worst-case behaviors of algorithms. Algorithmic strategies: brute force algorithms, greedy algorithms, divide-and-conquer, branch and bound, backtracking. Fundamental computing algorithms: O(n log n) sorting, hash table, binary trees, depth- and breadth-first search of graphs.",3,"","","CP264 or (CP114 and CP213); and CP214 or MA238 ","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
"8","CP317","Software Engineering","Discussion of software development activities, including software process models, analysis, design, implementation, testing, project management and advanced topics. Both traditional and object-oriented methods are considered.",3,"","","CP213 or CP264 (or CP217)","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
"9","CP363","Database I","Introduction to database systems. Topics include data models, query languages, database design, recovery and concurrency, integrity and security.",3,"","","CP164 (or CP114)","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
"10","CP373","Ethics and Professional Practice in Computer Science","Introduction to ethics, computer reliability and safety, privacy, computer crime, intellectual property, impact of computers on work and society. Assessment includes written assignments and oral presentations.",3,"","","CP264 ","Hours per week:Lecture/Discussion: 3",TRUE,FALSE,FALSE,""
