"","Course Code","Course Name","Course Description","Credit Amount","Prerequisite","Corequisite","Equivalency","Antirequisite","Note","Lab"
"1","COMP 1012","Computer Programming for Scientists and Engineers","(Lab Required) An introduction to computer programming suitable for solving problems in science and engineering. Students will implement algorithms for numerical processing, statistical analysis and matrix operations. Not to be held with COMP 1010, COMP 1011 or COMP 1013.","3 cr"," Prerequisite: Mathematics 40S or equivalent"," Co-requisite: MATH 1230 or MATH 1500 or MATH 1501 (or equivalent)","Equiv To: COMP 1013","Mutually Exclusive: COMP 1010, COMP 1011","Attributes: Science",TRUE
"2","COMP 1020","Introductory Computer Science 2","(Lab Required) More features of a procedural language, elements of programming. May not be held with COMP 1021.","3 cr"," Prerequisite: COMP 1010 or COMP 1011; or COMP 1012 or COMP 1013; or High School Computer Science 40S (75%) and any grade 12 or 40S Mathematics, or equivalent","","Equiv To: COMP 1021","","Attributes: Science, Recommended Intro Courses",TRUE
"3","MATH 1220","Linear Algebra 1","(Lab required) This course is intended for students in mathematically rich disciplines including those planning to enter an Honours or Major program in Mathematics or Statistics. An introduction to vectors, matrices, systems of linear equations and three-dimensional geometry. May not be held with MATH 1210, MATH 1211, MATH 1300, MATH 1301, MATH 1310, or the former MATH 1680.","3 cr"," Prerequisite: One of Pre-calculus Mathematics 40S (70%), the former Mathematics 40S (300) (70%), MATH 1018 (B), or MSKL 0100 (B)","","","Mutually Exclusive: FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1210, MATH 1211, MATH 1300, MATH 1301, MATH 1310, MATH 1680","Attributes: Mathematics Requirement, Science, Recommended Intro Courses",TRUE
"4","MATH 1230","Differential Calculus","(Lab required) The course is intended for students in mathematically rich disciplines including those planning to enter an Honours or Major program in Mathematics or Statistics. Rigorous treatment of limits, continuity, and differentiation (with epsilon-delta proofs), applications in optimization problems, related rates, l'Hopital's rule, curve sketching, Taylor polynomials. Not to be held with MATH 1500, MATH 1501, MATH 1510, MATH 1520, the former MATH 1680, or MATH 1690.","3 cr"," Prerequisite: One of Pre-calculus Mathematics 40S (70%), the former Mathematics 40S (300) (70%), MATH 1018 (B), or MSKL 0100 (B)","","","Mutually Exclusive: FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1500, MATH 1510, MATH 1520, MATH 1680, MATH 1690","Attributes: Mathematics Requirement, Science, Recommended Intro Courses",TRUE
"5","MATH 1232","Integral Calculus","(Lab required) This course is intended for students in mathematically rich disciplines including those planning to enter an Honours or Major program in Mathematics or Statistics. Integral calculus: theory and techniques of integration, curve sketching (parametric and polar), volume, arc length, surface area and partial derivatives. Sequences and series. Not to be held with MATH 1690, MATH 1700, MATH 1701, MATH 1710.","3 cr"," Prerequisite: MATH 1230 or MATH 1500 (B) or MATH 1501 (B) or MATH 1510 (B)","","","Mutually Exclusive: FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1690, MATH 1700, MATH 1710","Attributes: Mathematics Requirement, Science, Recommended Intro Courses",TRUE
"6","MATH 1240","Elementary Discrete Mathematics","(Lab required) The course is intended for students in mathematically rich disciplines including those planning to enter an Honours or Major program in Mathematics or Statistics. An introduction to mathematical ideas, proof, techniques, and mathematical writing, explored through topics in discrete mathematics. May not be held with MATH 1241 or MATH 3120.","3 cr"," Prerequisite: One of Pre-calculus Mathematics 40S (60%), the former Mathematics 40S (300) (60%), MATH 1018 (B), or MSKL 0100","","Equiv To: MATH 1241","Mutually Exclusive: FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 3120","Attributes: Mathematics Requirement, Science, Recommended Intro Courses",TRUE
"7","STAT 1150","Introduction to Statistics and Computing","(Lab required) This course is recommended for students in mathematically rich disciplines, including Statistics, Mathematics, Actuarial Science, Computer Science, and related interdisciplinary programs. Topics to be covered include: summarizing and displaying large datasets, sampling, estimation and significance tests, probability calculations, random variables and probability distributions, introduction to regression and correlation analysis, statistical software. Not to be held with STAT 1000, STAT 1001, STAT 2000, STAT 2001 and STAT 2220.","3 cr"," Prerequisite: Minimum of 70% in Pre-calculus Mathematics 40S or a grade of B or better in MSKL 0100 or equivalent","","","Mutually Exclusive: STAT 1000, STAT 1001, STAT 2000, STAT 2001, STAT 2220","Attributes: Mathematics Requirement, Science, Recommended Intro Courses",TRUE
"8","COMP 2140","Data Structures and Algorithms","(Lab Required) Introduction to the representation and manipulation of data structures. Topics will include lists, stacks, queues, trees, and graphs. May not be held with COMP 2061.","3 cr"," Prerequisites: one of COMP 1020, COMP 1021","","Equiv To: COMP 2061","","Attributes: Science",TRUE
"9","DATA 2010","Tools and Techniques for Data Science","(Lab required) An introduction to the field of data science with an emphasis on the fundamental tools and techniques that underlie the field of data science.","3 cr"," Prerequisites: [one of MATH 1240, MATH 1241, or COMP 2130] and [one of MATH 1220, MATH 1210 (B), MATH 1211 (B), MATH 1300, or MATH 1301] and [one of MATH 1232, MATH 1700, MATH 1701, or MATH 1710]"," Pre- or corequisites: COMP 2140 and STAT 2150","","","Attributes: Science",TRUE
"10","MATH 2720","Multivariable Calculus","(Lab required) Calculus of several variables. This course is intended for students in one of the following programs: Actuarial Mathematics, Data Science, Statistics (Honours or Majors), Physics (Honours or Majors) Geophysics (Honours or Majors), and Physical Geography. May not be held with MATH 2130, MATH 2150, MATH 2151, MATH 2721, the former MATH 2110, or the former MATH 2750.","3 cr"," Prerequisites: (one of MATH 1220, MATH 1210 (B), MATH 1211 (B), MATH 1300, MATH 1301, or MATH 1310) and (one of MATH 1232, MATH 1690, MATH 1700, MATH 1701, or MATH 1710)","","Equiv To: MATH 2721","Mutually Exclusive: MATH 2110, MATH 2130, MATH 2150, MATH 2151, MATH 2750","Attributes: Mathematics Requirement, Science",TRUE
