"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Equivalency","Lab","Note"
"1","MATH 1010","Applied Finite Mathematics","For students needing to fill the requirement of a university level mathematics course. Introduces students to modern applications of discrete mathematics. Topics include: mathematics of finance, linear programming, graph theory, and game theory. This is a terminal course and may not be used as a prerequisite for other Mathematics courses. This course cannot be used as part of an Honours, Major, General or Minor program in the mathematical sciences. Not available to any student already holding a grade of “C” or better in any Mathematics course with the exception of MATH 1020, FA 1020, the former MATH 1190 or MATH 1191. Not to be taken concurrently with any other Mathematics course with the exception of MATH 1020, FA 1020 or MATH 1191. No prerequisite.",3,"MATH 1200, MATH 1201, MATH 1210, MATH 1211, MATH 1220, MATH 1230, MATH 1232, MATH 1240, MATH 1241, MATH 1300, MATH 1301, MATH 1310, MATH 1500, MATH 1501, MATH 1510, MATH 1520, MATH 1690, MATH 1700, MATH 1701, MATH 1710","","","",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"2","MATH 1018","Pre-Calculus in Practice","Essential topics in pre-calculus, with an emphasis on applications and elementary mathematical modelling in the sciences. This course is intended primarily for students who do not have credit for Pre-calculus Mathematics 40S (60%) and wish to continue in a subsequent course in Mathematics. May not be used for credit in a Mathematics Honours, Joint Honours, or Major program. Not available to students who have previously obtained credit (grade of C or better) in MATH 1200, MATH 1201, MATH 1210, MATH 1211, MATH 1220, MATH 1230, MATH 1240, MATH 1241, MATH 1300, MATH 1301, MATH 1310, MATH 1500, MATH 1501, MATH 1510, MATH 1520, or MATH 1690.",3,"MATH 1200, MATH 1201, MATH 1210, MATH 1211, MATH 1220, MATH 1232, MATH 1240, MATH 1241, MATH 1300, MATH 1301, MATH 1310, MATH 1500, MATH 1501, MATH 1510, MATH 1520, MATH 1690, MATH 1700, MATH 1701, MATH 1710","","","",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"3","MATH 1020","Mathematics in Art","Specific theory, structuring systems, and mathematical methods and principles used in works of art from various historical periods and contexts will be explored in relation to Euclidean and non-Euclidean geometries. Topics include: linear perspective; shapes, patterns, balance and symmetry; ratio, proportion and harmony; and order, dynamics, and chaos. The course will be one half art and one half mathematics, team-taught by faculty from the School of Art and the Department of Mathematics. This course is also given in the School of Art as FA 1020. This is a terminal course and may not be used as a prerequisite for other Mathematics courses. This course cannot be used as part of an Honours, Major, General or Minor program in the mathematical sciences. Not available to any student already holding a grade of “C” or better in any Mathematics course with the exception of MATH 1010, the former MATH 1190, or MATH 1191. Not to be taken concurrently with any other Mathematics course with the exception of MATH 1010 or MATH 1191. No prerequisite.",3,"MATH 1200, MATH 1201, MATH 1210, MATH 1211, MATH 1220, MATH 1230, MATH 1232, MATH 1240, MATH 1241, MATH 1300, MATH 1301, MATH 1310, MATH 1500, MATH 1501, MATH 1510, MATH 1520, MATH 1690, MATH 1700, MATH 1701, MATH 1710","","","FA 1020",FALSE,"Mathematics Requirement, Science, Recommended Intro Courses"
"4","MATH 1080","Fundamentals of Mathematical Reasoning","Logic, reasoning, problem solving, introduction to set theory, mathematical induction, introduction to number theory, bases of arithmetic and the standard algorithms, working with fractions and functions. The course is recommended for students intending to become early or middle years school teachers. This course cannot be used as part of an Honours, Major, General or Minor program in the mathematical sciences.",3,"","","One of Pre-Calculus Mathematics 40S (50%), the former Mathematics 40S (300) (50%), Applied Mathematics 40S (65%), MATH 1018 (C+), or MSKL 0100","",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"5","MATH 1090","Mathematical Reasoning in Euclidean Geometry","Introduction to Euclidean geometry with emphasis on mathematical reasoning. Perimeter, area, volume, triangle congruence, parallel lines and quadrilaterals, similarity, circles, coordinate geometry or transformation geometry. The course is recommended for students intending to become early or middle years school teachers. This course cannot be used as part of an Honours, Major, General or Minor program in the mathematical sciences.",3,"","","MATH 1080","",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"6","MATH 1200","Elements of Discrete Mathematics","Sequences and series, trigonometry, complex numbers, algebra of polynomials, approximation of zeros of functions, linear difference equations. Not to be held with MATH 1210, MATH 1211 or MATH 1201. Not available to any student holding credit in any Mathematics course numbered 2000 or higher, unless MATH 1200 is a required course in a student's program.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1210, MATH 1211","","a minimum grade of 60% in Pre-calculus 40S or the former Mathematics 40S (300), or a grade of 60% or better in the MSKL 0100 offered by Extended Education","MATH 1201",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"7","MATH 1210","Techniques of Classical and Linear Algebra","To introduce a variety of practical algebraic concepts and skills necessary for the study of calculus and advanced engineering mathematics. The emphasis of this course is in the development of methodology and algebraic skill necessary for successful completion of subsequent engineering mathematics courses. This course is intended for Engineering and Geophysics students. May not be held with MATH 1200, MATH 1201, MATH 1211, MATH 1220, MATH 1300, MATH 1301, or MATH 1310.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1200, MATH 1201, MATH 1300, MATH 1301, MATH 1310","","One of Pre-calculus Mathematics 40S (60%), the former Mathematics 40S (300) (60%), MATH 1018 (C+), or MSKL 0100","MATH 1211",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"8","MATH 1220","Linear Algebra 1","This course is intended for students in mathematically rich disciplines including those planning to enter an Honours or Major program in Mathematics or Statistics. An introduction to vectors, matrices, systems of linear equations and three-dimensional geometry. May not be held with MATH 1210, MATH 1211, MATH 1300, MATH 1301, MATH 1310, or the former MATH 1680.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1210, MATH 1211, MATH 1300, MATH 1301, MATH 1310, MATH 1680","","One of Pre-calculus Mathematics 40S (70%), the former Mathematics 40S (300) (70%), MATH 1018 (B), or MSKL 0100 (B)","",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"9","MATH 1230","Differential Calculus","The course is intended for students in mathematically rich disciplines including those planning to enter an Honours or Major program in Mathematics or Statistics. Rigorous treatment of limits, continuity, and differentiation (with epsilon-delta proofs), applications in optimization problems, related rates, l'Hopital's rule, curve sketching, Taylor polynomials. Not to be held with MATH 1500, MATH 1501, MATH 1510, MATH 1520, the former MATH 1680, or MATH 1690.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1500, MATH 1510, MATH 1520, MATH 1680, MATH 1690","","One of Pre-calculus Mathematics 40S (70%), the former Mathematics 40S (300) (70%), MATH 1018 (B), or MSKL 0100 (B)","",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"10","MATH 1232","Integral Calculus","This course is intended for students in mathematically rich disciplines including those planning to enter an Honours or Major program in Mathematics or Statistics. Integral calculus: theory and techniques of integration, curve sketching (parametric and polar), volume, arc length, surface area and partial derivatives. Sequences and series. Not to be held with MATH 1690, MATH 1700, MATH 1701, MATH 1710.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1690, MATH 1700, MATH 1710","","MATH 1230 or MATH 1500 (B) or MATH 1501 (B) or MATH 1510 (B)","",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
