"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Equivalency","Lab","Note"
"1","STAT 1000","Basic Statistical Analysis 1","This course is not recommended for students in certain programs (see the description of STAT 1150). An introduction to the basic principles of statistics and procedures used for data analysis. Topics to be covered include: gathering data, displaying and summarizing data, examining relationships between variables, sampling distributions, estimation and significance tests, inference for means. May not be held with STAT 1001, STAT 1150, STAT 2220.",3,"STAT 1150, STAT 2220","","Any grade 12 or 40S Mathematics, or equivalent","STAT 1001",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"2","STAT 1150","Introduction to Statistics and Computing","This course is recommended for students in mathematically rich disciplines, including Statistics, Mathematics, Actuarial Science, Computer Science, and related interdisciplinary programs. Topics to be covered include: summarizing and displaying large datasets, sampling, estimation and significance tests, probability calculations, random variables and probability distributions, introduction to regression and correlation analysis, statistical software. Not to be held with STAT 1000, STAT 1001, STAT 2000, STAT 2001 and STAT 2220.",3,"STAT 1000, STAT 1001, STAT 2000, STAT 2001, STAT 2220","","Minimum of 70% in Pre-calculus Mathematics 40S or a grade of B or better in MSKL 0100 or equivalent","",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"3","STAT 2000","Basic Statistical Analysis 2","This course is not recommended for students in certain programs (see the description of STAT 2150). The study of estimation and hypothesis testing procedures for means and proportions in one, two and multiple sample situations, introduction to the analysis of variance; regression and correlation analysis; optional topics may include nonparametric procedures, design of experiments, probability models. May not to be held with STAT 1150, STAT 2001.",3,"STAT 1150","","STAT 1000 or STAT 1001","STAT 2001",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"4","STAT 2150","Statistics and Computing","This course is recommended for students in mathematically rich disciplines, including Statistics, Mathematics, Actuarial Science, Computer Science, and related interdisciplinary programs. Topics to be covered include: exploratory data analysis and visualization, graphical methods, random number generation, random variables, simple statistical models and computing, Monte Carlo methods, large sample and simulation-based inference, statistical software packages.",3,"","","[one of STAT 1150, STAT 2000 (B), STAT 2001 (B), or STAT 2220] and [one of MATH 1230, MATH 1500, MATH 1501, MATH 1510, MATH 1520, or MATH 1690]","",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"5","STAT 2220","Contemporary Statistics for Engineers","Descriptive statistics, basic probability concepts, special statistical distributions, statistical inference-estimation and hypothesis testing, regression, reliability, statistical process control. May not be held with STAT 1000, STAT 1001 or STAT 1150.",3,"STAT 1000, STAT 1001, STAT 1150","","one of MATH 1232, MATH 1690, the former MATH 1680, MATH 1700, MATH 1701, MATH 1710","",TRUE,"Mathematics Requirement, Science"
"6","STAT 2300","Principles of Data Collection","Introduction to the basic principles and foundational aspects of data collection with a focus on the design and basic analysis of observational and experimental studies. Important issues like randomization, blocking and confounding, sampling, stratification, response bias and nonresponse will be covered. May not be held with the former STAT 3480.",3,"STAT 3480","","one of STAT 1150, STAT 2000, STAT 2001, or STAT 2220","",FALSE,"Mathematics Requirement, Science"
"7","STAT 2400","Introduction to Probability 1","Basic probability, discrete and continuous random variables, important families of distributions, functions of a random variable, expectation and variance, introduction to joint distributions. This course is not available to students who have previously obtained credit for STAT 3500.",3,"STAT 3500","","[one of STAT 1150, STAT 2000 (B), STAT 2001 (B), or STAT 2220] and [one of MATH 1232, MATH 1690, MATH 1700 (B), MATH 1701 (B), MATH 1710 (B)]","",TRUE,"Mathematics Requirement, Science"
"8","STAT 2800","Introduction to Probability 2","Joint and conditional distributions, distributions of functions of random variables, laws of total expectation and variance, moments and generating functions. May not be held with the former STAT 3400 or the former STAT 3500.",3,"STAT 3400, STAT 3500","one of MATH 2150, MATH 2151, MATH 2720, MATH 2721, or the former MATH 2750","STAT 2400","",TRUE,"Mathematics Requirement, Science"
"9","STAT 3000","Applied Linear Statistical Models","Applied linear regression, analysis of variance for designed experiments and related topics. This course is not for use in the Honours or Major degree programs in Statistics. May not be held with STAT 3450, the former STAT 3120, or the former STAT 3470.",3,"STAT 3120, STAT 3450, STAT 3470","","one of STAT 1150, STAT 2000, STAT 2001, or STAT 2220","",FALSE,"Mathematics Requirement, Science"
"10","STAT 3030","Introduction to Stochastic Processes","Review of conditional probability and expectations, Markov chains, homogeneous and nonhomogeneous Poisson processes. Optional topics include: reliability theory, queuing theory and Brownian motion. May not be held with the former STAT 3050.",3,"","","[one of STAT 2800, the former STAT 3400, or the former STAT 3500] and [one of MATH 2150, MATH 2151, MATH 2720, MATH 2721, or the former MATH 2750]","STAT 3050",FALSE,"Mathematics Requirement, Science"
"11","STAT 3100","Introduction to Statistical Inference","Overview of the most common approaches to inference associated with point estimation, confidence intervals and hypothesis testing, including likelihood, least-squares and moment-based methods, as well as large sample approximations. May not be held with the former STAT 3600 or the former STAT 3800.",3,"STAT 3600, STAT 3800","one of MATH 2150, MATH 2151, MATH 2720, MATH 2721, or the former MATH 2750","STAT 2150 and STAT 2400","",TRUE,"Mathematics Requirement, Science"
"12","STAT 3150","Statistical Computing","Programming using statistical software, random number generation, principles of Monte Carlo simulation, simulation-based inference, Monte Carlo integration, and other related topics.",3,"","","STAT 2150 and STAT 2400","",FALSE,"Mathematics Requirement, Science"
"13","STAT 3170","Statistical Quality Control","Techniques for quality improvement through the use of statistical process control. Topics will include acceptance sampling, Pareto diagrams, control charts, measurements of process capability and process performance.",3,"","","one of STAT 1150, STAT 2000, STAT 2001, or STAT 2220","",FALSE,"Mathematics Requirement, Science"
"14","STAT 3380","Introduction to Nonparametric Statistics","Parametric versus nonparametric inference, inference using ranks and order statistics, contingency tables, goodness-of-fit tests, applications in the social and physical sciences.",3,"","","one of STAT 1150, STAT 2000, STAT 2001, or STAT 2220","",FALSE,"Mathematics Requirement, Science"
"15","STAT 3450","Linear Models","Least-squares approach to simple and multiple regression, one-way analysis of variance, two-way analysis of variance and related topics. May not be held with STAT 3000, the former STAT 3120, or the former STAT 3470.",3,"STAT 3000","","STAT 2150 and STAT 2400 and [one of MATH 1220, MATH 1300 (B), or MATH 1301 (B)]","STAT 3120, STAT 3470",FALSE,"Mathematics Requirement, Science"
"16","STAT 3490","Time Series Analysis","Analysis of time series data and related methodologies: autoregressive and moving-average models and their generalizations, trend and seasonal components, exponential smoothing, the Box-Jenkins Methodology.",3,"","","one of STAT 3450, the former STAT 3120, or the former STAT 3470","",FALSE,"Mathematics Requirement, Science"
"17","STAT 3550","Nonlinear Regression Models","Nonlinear multiple regression, logistic regression, Poisson regression and generalizations, over/under dispersion, model selection techniques. May not be held with STAT 4000.",3,"STAT 4000","[one of STAT 3100, the former STAT 3600, or the former STAT 3800] and STAT 3150","one of STAT 3450, the former STAT 3120, or the former STAT 3470","",FALSE,"Mathematics Requirement, Science"
"18","STAT 3690","Multivariate Analysis","Multivariate normal distribution, multivariate regression and applications, visualization of multivariate data and dimension reduction, principal component analysis, canonical correlation. May not be held with the former STAT 4690.",3,"STAT 4690","","[one of STAT 2800, the former STAT 3400, or the former STAT 3500] and [one of STAT 3450, the former STAT 3120, or the former STAT 3470] and [one of MATH 2150, MATH 2151, MATH 2720, MATH 2721, or the former MATH 2750]","",FALSE,"Mathematics Requirement, Science"
"19","STAT 3900","Intermediate Topics in Statistics","Topics of current interest in Statistics that will vary with the needs and interests of students and faculty. This course can be completed as a topics course multiple times under different titles.",3,"","","Consent of Department","",FALSE,"Mathematics Requirement, Science"
"20","STAT 3910","Intermediate Topics in Statistics with Laboratory","Topics of current interest in Statistics that will vary with the needs and interests of students and faculty. This course can be completed as a topics course multiple times under different titles.",3,"","","Consent of Department","",TRUE,"Mathematics Requirement, Science"
"21","STAT 3980","Work Term I","Work assignment in business, industry, or government for students registered in the Statistics Honours or Major Cooperative Option. Requires submission of a written report covering the work completed during the four-month professional assignment. (Pass/Fail grade only).",0,"","","STAT 3470 and STAT 3480","",FALSE,"Mathematics Requirement, Science"
"22","STAT 3990","Work Term II","Work assignments in business, industry or government for students registered in the Statistics Honours or Major Cooperative program. Requires submission of a written report covering the work completed during the four-month professional assignment. (Pass/Fail).",0,"","","STAT 3980 (P)","",FALSE,"Mathematics Requirement, Science"
"23","STAT 4000","Applied Statistical Modelling","Generalizations of linear models, including polynomial regression, analysis of covariance, logistic regression and regression for count data. Other optional topics include: random effects and mixed models, models for dependent data, advanced concepts in designing experiments. This course may not be used in the Honours or Major degree programs in Statistics. May not be held with STAT 3550.",3,"STAT 3550","","one of STAT 3000, STAT 3450, the former STAT 3120, or the former STAT 3470","",FALSE,"Mathematics Requirement, Science"
