"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Breadth Category","Quantitative Requirement","Writing Requirement"
"1","BUS 100","Professional Development - Launch","An intensive program to introduce students to the mission and values of the Beedie School of Business through an immersive experiential learning experience. This program prepares students for success through the development and integration of academic skills and mindsets while building a network necessary for success in academic, social, and career related pursuits.",1,"","Corequisite: BUS 201 or BUS 202.","Prerequisite: Admission to the BBA major - highschool or transfer stream.","",FALSE,FALSE
"2","BUS 200","Business Fundamentals","Explore the fundamentals of modern business and organizational management. Working with case studies, students will build upon the basics of revenue, profits, contribution and costs, as well as integrate advanced aspects of business models, innovation, competitive advantage, core competence, and strategic analysis.",3,"","","","Breadth-Social Sciences.",FALSE,FALSE
"3","BUS 201","Introduction to Business","For the Business Administration Major – High School Stream - orients students to the Beedie School of Business and the academic expectations of the program. As a broad introduction to the study of business, students are introduced to the different disciplines and how each relates to global perspective, innovation, and social responsibility. Students explore the integration of these disciplines through experiential learning projects by engaging with, and further developing, interpersonal and collaboration skills in culturally diverse team environments. Students with more than 30 units may not take this course.",3,"Students with credit for BUS 130 or BUS 202 may not take this course for further credit.","","Prerequisite: This course is only open to approved business administration majors admitted to the faculty through the Business Foundation Program - High School Stream.","",FALSE,FALSE
"4","BUS 202","Foundations of Business","Business Administration Major – Transfer Stream. Orients students to the Beedie School of Business and the academic expectations of the program. Students explore the different disciplines and specializations within business and tune their prior business knowledge within the context of a global perspective, social responsibility, and innovation. Students explore the integration of these disciplines through experiential learning projects by engaging with and further developing interpersonal and collaboration skills in culturally diverse team environments.",3,"Students with credit for BUS 130 or BUS 201 may not take this course for further credit.","","Prerequisite: This course is only open to approved business administration majors, joint majors, or second degree students admitted to the faculty through the Business Foundation Program - Transfer Stream.","",FALSE,FALSE
"5","BUS 207","Managerial Economics","Emphasis is upon the relevance of economic models to business decision-making and, in particular, upon the rational analysis of choice alternatives within the firm. Course will include consideration of optimizing techniques and analysis of risk, demand, production and profit in addition to examination of long-term investment decisions and business forecasting.",3,"Students with credit for ECON 301, ECON 201, or BUS 307 may not take BUS 207 for further credit.","","Prerequisite: ECON 103 or ECON 113, ECON 105 or ECON 115, MATH 157, all with a minimum grade of C-; 15 units.","",TRUE,FALSE
"6","BUS 216","Introduction to Essentials of Business Communications","Students will learn and apply the fundamentals of effective English-language business writing to produce short, professional-quality business documents. By reading, analyzing, planning, and writing documents for various audiences, students will learn about the distinctive elements of business writing. Students will develop essential skills in organizing, summarizing and assessing information through experiential business writing tasks.",3,"Students with credit for BUS 360W may not receive further credit for this course.","","","",FALSE,FALSE
"7","BUS 217W","Critical Thinking in Business","Examine and review today's global economy through critical analysis of differing perspectives. Develop and improve critical thinking and communication skills appropriate to the business environment.",3,"","","Prerequisite: BUS 201 with a minimum grade of C- and 15 units; OR 45 units and corequisite: BUS 202; OR business administration joint major, joint honours, or double degree students with 45 units; OR data science major with 15 units.","",FALSE,TRUE
"8","BUS 221","Personal Finance","Explores the various aspects of finance that impact individuals directly. Using mathematical tools and in-depth analysis, students examine financial products and gain knowledge about how to effectively use them within their daily activities.",3,"","","","",TRUE,FALSE
"9","BUS 225","Co-op Practicum I","This is the first term of work experience for students in the Co-operative Education Program. It provides an opportunity to integrate theory and practice. This course is open only to co-op students. The co-op program co-ordinator must be contacted at the beginning of the term prior to enrollment for this course. Units for this course do not count towards the units required for an SFU degree.",3,"","","","",FALSE,FALSE
"10","BUS 232","Business Statistics","An introduction to business statistics (descriptive and inferential statistics) with a heavy emphasis on applications and the use of EXCEL. Students will be required to use statistical applications to solve business problems.",3,"Students with credit for BUEC 232 or ECON 233 may not take this course for further credit.","Corequisite: MATH 150, MATH 151, MATH 154, or MATH 157, with a minimum grade of C-; 15 units.","","",TRUE,FALSE
"11","BUS 233","Introduction to Business Law and Ethics","Provides students with the basic legal and ethical principles and frameworks that are necessary when one is operating within a business context. The design of the course combines components of two core courses in the undergraduate business program, namely, Commercial Law (BUS 393) and Business Ethics (BUS 303).",3,"Students with credit for BUS 303 or BUS 393 may not take this course for further credit.","","Prerequisite: 12 units.","Breadth-Social Sciences.",FALSE,FALSE
"12","BUS 237","Introduction to Business Technology Management","Introduces students to the knowledge and skills necessary to make full use of business information systems. Demonstrates how information systems are used by organizations to improve productivity and create competitive advantage. Provides hands on training in productivity tools including Excel, Visio, Access and Web design tools.",3,"Students with credit for BUS 337 and COMM 337 may not take this course for further credit.","","Prerequisite: 12 units.","",FALSE,FALSE
"13","BUS 238","Introduction to Entrepreneurship and Innovation","Students will build collaborative and creative skills necessary to become effective innovators through hands-on application via interdisciplinary teamwork. Entrepreneurship and innovation of all types will be addressed including social, commercial, creative, sustainable and technological perspectives.",3,"","","Prerequisite: 12 units.","Breadth-Social Sciences.",FALSE,FALSE
"14","BUS 240","Introduction to Innovation","An introduction to key innovation concepts and processes, and how innovation is organized in established organizations and start-ups. Students will learn their role as agents of innovation by practicing techniques that help them anticipate opportunities, generate innovative concepts, and implement innovation in established organizations, entrepreneurial ventures and society.",3,"","","Prerequisite: 12 units.","",FALSE,FALSE
"15","BUS 251","Financial Accounting I","An introduction to financial accounting, including accounting terminology, understanding financial statements, analysis of a business entity using financial statements. Includes also time value of money and a critical review of the conventional accounting system.",3,"","","Prerequisite: 12 units.","",TRUE,FALSE
"16","BUS 254","Managerial Accounting I","Theory and methods of cost compilation for managerial planning, control and decision making; the use of budgets and analysis in planning and controlling operations, establishing supervisory and departmental responsibility, and various techniques of measuring results.",3,"","","Prerequisite: BUS 251 with a minimum grade of C-; 15 units.","",TRUE,FALSE
