"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Breadth Category","Quantitative Requirement","Writing Requirement"
"1","CMPT 102","Introduction to Scientific Computer Programming","A programming course which will provide the science student with a working knowledge of a scientific programming language and an introduction to computing concepts, structured programming, and modular design. The student will also gain knowledge in the use of programming environments including the use of numerical algorithm packages. Students who have taken CMPT 125, 129 or 135 first may not then take this course for further credit. Quantitative.",3,"Students with credit for CMPT 120, 128, 130 or 166 may not take this course for further credit.","Corequisite: MATH 152 or 155 (or 158).","","",TRUE,FALSE
"2","CMPT 105W","Social Issues and Communication Strategies in Computing Science","This course teaches the fundamentals of informative and persuasive communication for professional engineers and computer scientists. A principal goal of this course is to assist students in thinking critically about various contemporary technical, social, and ethical issues. It focuses on communicating technical information clearly and concisely, managing issues of persuasion when communicating with diverse audiences, presentation skills, and teamwork.",3,"Students with credit for ENSC 102, ENSC 105W, MSE 101W or SEE 101W may not take CMPT 105W for further credit.","","","",FALSE,TRUE
"3","CMPT 106","Applied Science, Technology and Society","Reviews the different modes of thought characteristic of science, engineering and computing. Examines the histories and chief current research issues in these fields. Considers the ethical and social responsibilities of engineering and computing work.",3,"Students with credit for ENSC 100, ENSC 106 or MSE 102 cannot take this course for further credit.","","","",FALSE,FALSE
"4","CMPT 110","Programming in Visual Basic","Topics will include user interfaces, objects, event-driven programming, program design, and file and data management. Students who have obtained credit for, or are currently enrolled in a computing science course at the 200-level or higher, or ITEC 240, 241 or 242 may not take CMPT 110 for further credit except with permission of the School of Computing Science. Quantitative.",3,"","","Prerequisite: BC Mathematics 12 (or equivalent) or any 100-level MATH course with a minimum grade of C-.","",TRUE,FALSE
"5","CMPT 115","Exploring Computer Science","You will be exploring fundamental ideas in Computer Science, and the far-reaching impact of computational thinking on modern society. Programming is not the focus, but you will do a bit of programming to actively experience the computational point of view on the world, creating applications in AI and robotics using friendly visual programming languages. No prior computing experience required. Students who have taken CMPT 120, 125, 127, 130, 135 or 170, or IAT 265 or 267 first may not then take this course for further credit.",3,"Students who have taken CMPT 120, 125, 127, 130, 135 or 170, or IAT 265 or 267 first may not then take this course for further credit.","","","Breadth-Science.",FALSE,FALSE
"6","CMPT 118","Special Topics in Computer and Information Technology","Special topics in computing science which are of current interest to non-computing students. The course will be offered from time to time depending on availability of faculty and on student interest. Students who have obtained credit for, or are currently enrolled in a computing science course at the 200-level or higher, may not take CMPT 118 for further credit.",3,"","","","",FALSE,FALSE
"7","CMPT 120","Introduction to Computing Science and Programming I","An elementary introduction to computing science and computer programming, suitable for students with little or no programming background. Students will learn fundamental concepts and terminology of computing science, acquire elementary skills for programming in a high-level language, e.g. Python. The students will be exposed to diverse fields within, and applications of computing science. Topics will include: pseudocode; data types and control structures; fundamental algorithms; recursion; reading and writing files; measuring performance of algorithms; debugging tools; basic terminal navigation using shell commands. Treatment is informal and programming is presented as a problem-solving tool. Students who have taken CMPT 125, 129, 130 or 135 first may not then take this course for further credit. Quantitative/",3,"Students with credit for CMPT 102, 128, 130 or 166 may not take this course for further credit.","","Prerequisite: BC Math 12 or equivalent is recommended.","Breadth-Science.",FALSE,FALSE
"8","CMPT 125","Introduction to Computing Science and Programming II","A rigorous introduction to computing science and computer programming, suitable for students who already have some background in computing science and programming. Intended for students who will major in computing science or a related program. Topics include: memory management; fundamental algorithms; formally analyzing the running time of algorithms; abstract data types and elementary data structures; object-oriented programming and software design; specification and program correctness; reading and writing files; debugging tools; shell commands. Quantitative.",3,"Students with credit for CMPT 126, 129, 135 or CMPT 200 or higher may not take this course for further credit.","","Prerequisite: CMPT 120 or CMPT 130, with a minimum grade of C-.","",TRUE,FALSE
"9","CMPT 128","Introduction to Computing Science and Programming for Engineers","An introduction to computing science and computer programming, suitable for students wishing to major in Engineering Science or a related program. This course introduces basic computing science concepts, and fundamentals of object oriented programming. Topics include: fundamental algorithms and problem solving; abstract data types and elementary data structures; basic object-oriented programming and software design; elements of empirical and theoretical algorithmics; computation and computability; specification and program correctness; and history of computing science. The course will use a programming language commonly used in Engineering Science. Students who have taken CMPT 125, 129, 135, or CMPT 200 or higher first may not then take this course for further credit. Quantitative/",3,"Students with credit for CMPT 102, 120, 130 or 166 may not take this course for further credit.","","Prerequisite: BC Math 12 (or equivalent, or any of MATH 100, 150, 151, 154, or 157, with a minimum grade of C-).","Breadth-Science.",FALSE,FALSE
"10","CMPT 129","Introduction to Computing Science and Programming for Mathematics and Statistics","A second course in computing science and programming intended for students studying mathematics, statistics or actuarial science and suitable for students who already have some background in computing science and programming. Topics include: a review of the basic elements of programming: use and implementation of elementary data structures and algorithms; fundamental algorithms and problem solving; basic object-oriented programming and software design; computation and computability and specification and program correctness. Quantitative.",3,"Students with credit for CMPT 125 or 135 may not take this course for further credit.","","Prerequisite: CMPT 102 or CMPT 120, with a minimum grade of C-.","",TRUE,FALSE
