"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Breadth Category","Quantitative Requirement","Writing Requirement"
"1","ECON 102","The World Economy","An overview of the broad economic trends in the development of the world economy over the last five decades with reference to the major debates related to economic interdependence, development and growth, globalization, and the role of the major multilateral economic institutions (IMF, World Bank, OCED, ILO, UN). (lecture/tutorial).",3,"","","","Breadth-Social Sciences.",FALSE,FALSE
"2","ECON 103","Principles of Microeconomics","The principal elements of theory concerning utility and value, price and costs, factor analysis, productivity, labor organization, competition and monopoly, and the theory of the firm.",4,"Students with credit for ECON 200 cannot take ECON 103 for further credit.","","","Breadth-Soc.",TRUE,FALSE
"3","ECON 104","Economics and Government","An introduction of broad, basic economic ideas applied to government finance, allocation, and procurement. Topics covered may include government size, health care, debt, social insurance, trade, and redistribution policies.",3,"","","","Breadth-Social Sciences.",FALSE,FALSE
"4","ECON 105","Principles of Macroeconomics","The principal elements of theory concerning money and income, distribution, social accounts, public finance, international trade, comparative systems, and development and growth.",4,"Students with credit for ECON 205 cannot take ECON 105 for further credit.","","","Breadth-Soc.",TRUE,FALSE
"5","ECON 113","Introduction to Microeconomics","Focused on basic competencies in microeconomics, this course is suitable for business and other students not intending to specialize in economics. Topics include gains from trade, supply and demand, prices, competition and monopoly, market failures, and government policies. Economic literacy is an important part of the course.",3,"Students who have taken ECON 103 first may not then take this course for further credit.","","","Breadth-Soc.",TRUE,FALSE
"6","ECON 115","Introduction to Macroeconomics","Focused on basic competencies in macroeconomics, this course is suitable for business and other students not intending to specialize in economics. Topics include GDP, economic growth, business cycles, unemployment, inflation, money, monetary and fiscal policies, exchange rates, government debt, globalization and trade policy. Economic literacy is an important part of the course.",3,"Students who have taken ECON 105 first may not then take this course for further credit.","","","Breadth-Soc.",TRUE,FALSE
"7","ECON 182","Selected Topics in Economics","The subject matter will vary from term to term. Students may repeat this course for further credit under a different topic.",3,"","","","",FALSE,FALSE
"8","ECON 201","Microeconomic Theory I: Competitive Behavior","Aspects of microeconomic theory involving competitive markets. Topics include the behavior of households and firms, partial equilibrium analysis of product and factor markets, and general equilibrium.",4,"Students with credit for ECON 301 may not complete this course for further credit.","","Prerequisite: ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-; ECON 105 with a minimum grade of C- or ECON 115 with a minimum grade of A-; MATH 157 with a minimum grade of C-.","",TRUE,FALSE
"9","ECON 220W","Communication in Economics","Examine and review today's global economy through critical analysis of differing perspectives. Develop techniques and strategies for clear and effective written and oral communication of economic ideas. Improve critical and analytical thinking via the application of core principles to news stories or other economic data in writing and presentations.",4,"","","Prerequisite: ECON 201 with a minimum grade of C-, minimum 30 units and no more than 80 units.","",FALSE,TRUE
"10","ECON 222","Introduction to Game Theory","An introduction to game theory and strategic thinking. Covers the core concepts and tools for analyzing strategic interactions, as well as various applications in economics and other fields such as business, political science, history, sports, and biology.",3,"Students who have taken ECON 282 Selected Topics - Intro Game Theory in Fall 2011, Fall 2016, Spring 2017, or Spring 2019 may not take this course for further credit.","","Prerequisite: ECON 103 or MATH 157, with a minimum grade of C-, or ECON 113 with a minimum grade of A-.","",FALSE,FALSE
"11","ECON 233","Introduction to Economic Data and Statistics","Introduces statistical methods, concepts and their application to economic data using both spreadsheets (e.g., Excel) and a specialized statistical programming language such as R. MATH 150, MATH 151, MATH 154, or MATH 157 may be taken concurrently with ECON 233. STAT 270 or BUS 232 will be accepted in lieu of this course.",4,"Students who have taken ECON 333 first may not then take this course for further credit.","","Prerequisite: MATH 150, MATH 151, MATH 154, or MATH 157, with a minimum grade of C-; 15 units.","",FALSE,FALSE
"12","ECON 260","Environmental Economics","Economic analysis of environmental problems (water and air pollution, etc.). Evaluation of market failures due to externalities and public goods. Market and non-market regulation of environmental problems.",3,"Students with credit for ECON 360 may not take this course for further credit.","","Prerequisite: ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-.","",TRUE,FALSE
"13","ECON 280","Introduction to Labor Economics","Basic analysis of the labor market and the industrial relations system with emphasis on the major issues of public policy in Canada.",3,"Students who have taken COMM 280, ECON 301, 305 or 381 may not take ECON 280 for further credit.","","Prerequisite: ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-.","",TRUE,FALSE
"14","ECON 282","Selected Topics in Economics","The subject matter will vary from term to term.",3,"","","Prerequisite: To be determined by the instructor subject to approval by the department chair.","",FALSE,FALSE
"15","ECON 290","Microeconomic Policy","A general survey of microeconomic policy issues. Explores current topics in microeconomic policy including but not limited to: regulation, taxation, international trade, environmental and resource policy, health care, education, minimum wage and other labor policy, and income distribution.",3,"","","Prerequisite: ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-.","",TRUE,FALSE
"16","ECON 291","Macroeconomic Policy","A general survey of macroeconomic policy issues. Explores current topics in macroeconomic policy including but not limited to: the costs of unemployment and inflation, government budget deficits, monetary and fiscal policy, financial deregulation, policy coordination, and management of exchange rates.",3,"","","Prerequisite: ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-; ECON 105 with a minimum grade of C- or ECON 115 with a minimum grade of A-.","",TRUE,FALSE
"17","ECON 302","Microeconomic Theory II: Strategic Behavior","Aspects of microeconomic theory concerned with strategic behavior, imperfect information, and market failure. Topics include game theory and oligopoly; uncertainty and insurance; asymmetric information and market power, externalities and public goods, together with related issues in welfare economics.",4,"","","Prerequisite: ECON 201 with a minimum grade of C-; 60 units.","",TRUE,FALSE
"18","ECON 305","Intermediate Macroeconomic Theory","Concepts and methods of analysis of macroeconomic variables -- consumption, investment, government and foreign trade. Classical and Keynesian models compared; analysis of economic statics and dynamics. Students with a minimum grade of A- in ECON 103 and 105 at Simon Fraser University at their first attempt can complete ECON 305 concurrently with ECON 201 after 30 units. Students seeking permission to enroll on this basis must contact the undergraduate advisor in economics.",4,"","","Prerequisite: ECON 201 with a minimum grade of C-; 60 units.","",TRUE,FALSE
"19","ECON 310","Money and Banking","Banking theory and practice in a Canadian context; the supply theory of money; the demand for money and credit creation; monetary policy in a centralized banking system and in relation to international finance.",3,"Students with credit for ECON 210 or ECON 389 in 1131 or 1134 cannot take ECON 310 for further credit.","","Prerequisite: ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-; ECON 105 with a minimum grade of C- or ECON 115 with a minimum grade of A-; 60 units.","",TRUE,FALSE
"20","ECON 325","Industrial Organization","Introduces students to the economics of imperfect competition. Topics covered include the theory of the firm, market structure, and various aspects of firm strategy such as pricing, advertising, product differentiation, and innovation. Related questions of public policy will also be addressed.",3,"","","Prerequisite: ECON 201 with a minimum grade of C-; 60 units.","",TRUE,FALSE
"21","ECON 329","Experimental Economics","Covers experimental methods that are used to test existing theories of rational and behavioural economic decision making in a number of environments related to markets, different institutions, as well as strategic situations. Introduces and discusses methodological tools needed to design, run and analyze experiments.",3,"Students who have taken ECON 383 Selected Topics - Experimental Economics in Fall 2011, Fall 2012, Summer 2013, Spring 2014, Summer 2014, Fall 2018, or Spring 2019 may not take this course for further credit.","","Prerequisite: ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-; ECON 105 with a minimum grade of C- or ECON 115 with a minimum grade of A-.","",FALSE,FALSE
