"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Breadth Category","Quantitative Requirement","Writing Requirement"
"1","MATH 100","Precalculus","Designed to prepare students for first year Calculus courses. Topics include language and notation of mathematics; problem solving; algebraic, exponential, logarithmic and trigonometric functions and their graphs. MATH 100 may not be counted towards the mathematics minor, major or honours degree requirements.",3,"Students with credit for MATH 150 or 151 or 154 or 157 may not take MATH 100 for further credit.","","Prerequisite: Pre-Calculus 11 or Foundations of Mathematics 11 (or equivalent) with a grade of at least B or Pre-Calculus 12 (or equivalent), with a grade of at least C and SFU FAN credit, or SFU FAN X99 course with a grade of at least B-, or achieving a satisfactory grade on the Simon Fraser University Quantitative Placement Test.","",TRUE,FALSE
"2","MATH 113","Euclidean Geometry","Plane Euclidean geometry, congruence and similarity. Theory of parallels. Polygonal areas. Pythagorean theorem. Geometrical constructions. Intended to be accessible to students who are not specializing in mathematics. Particularly recommended for students considering a career in teaching secondary or middle school mathematics.",3,"","","Prerequisite: Pre-Calculus 11 (or equivalent) with a grade of at least B, or Foundations of Mathematics 11 (or equivalent) with a grade of at least B, or SFU FAN X99 course with a grade of at least C, or achieving a satisfactory grade on the Simon Fraser University Quantitative Placement Test.","",TRUE,FALSE
"3","MATH 125","Introduction to Mathematical Methods in the Physical Sciences-l","Review of limits and differentiation. Complex numbers and link to polar coordinates. Mathematics of kinematics, including vectors and parametrics curves. Area and Riemann sums. Definite and indefinite integration. Fundamental Theorems of Calculus. Techniques of integration and approximation of integrals. Series and tests of convergence. Taylor series. Solution of first and constant-coefficient second order ODE. And Permission of the Department.",3,"","Recommended corequisite: Physics 125.","Prerequisite: MATH 150 or MATH 151 or MATH 154 with a grade of at least B or IB Mathematics HL with a score of 6 or better or AP Calculus AB or BC with a grade of at least 4, or BC Calculus 12 and a pass on the Calculus Challenge Exam.","",FALSE,FALSE
"4","MATH 126","Introduction to Mathematical Methods in the Physical Sciences-ll","Partial differentiation and applications. Taylor series of functions of two variables. Method of characteristics for 1-D transport and wave equations. Similarity solutions including plane waves, traveling waves and scaling solutions, with applications in the physical sciences. Introduction to vector calculus, including differentiation, decompositions via potentials. Curvilinear coordinate systems. Multivariate integration, including Green's, the Stokes and the Divergence theorem. Introduction to abstract vector spaces. Linear independence. Inner products and orthogonality. Fourier Series.",3,"","Corequisite: Physics 126.","Prerequisite: A grade of C+ or higher in Math 125 or Math 152, and permission of the department.","",FALSE,FALSE
"5","MATH 130","Geometry for Computer Graphics","An introductory course in the application of geometry and linear algebra principles to computer graphical representation. Vector and matrix algebra, two and three dimensional transformations, homogeneous coordinates, perspective geometry.",3,"","","Prerequisite: Pre-Calculus 12 or Foundations of Mathematics 12 (or equivalent) with a grade of at least B, or MATH 100 with a grade of at least C.","",TRUE,FALSE
"6","MATH 150","Calculus I with Review","Designed for students specializing in mathematics, physics, chemistry, computing science and engineering. Topics as for Math 151 with a more extensive review of functions, their properties and their graphs. Recommended for students with no previous knowledge of Calculus. In addition to regularly scheduled lectures, students enrolled in this course are encouraged to come for assistance to the Calculus Workshop (Burnaby), or Math Open Lab (Surrey).",4,"Students with credit for either MATH 151, 154 or 157 may not take MATH 150 for further credit.","","Prerequisite: Pre-Calculus 12 (or equivalent) with a grade of at least B+, or MATH 100 with a grade of at least B-, or achieving a satisfactory grade on the Simon Fraser University Calculus Readiness Test.","",TRUE,FALSE
"7","MATH 151","Calculus I","Designed for students specializing in mathematics, physics, chemistry, computing science and engineering. Logarithmic and exponential functions, trigonometric functions, inverse functions. Limits, continuity, and derivatives. Techniques of differentiation, including logarithmic and implicit differentiation. The Mean Value Theorem. Applications of differentiation including extrema, curve sketching, Newton's method. Introduction to modeling with differential equations. Polar coordinates, parametric curves.",3,"Students with credit for either MATH 150, 154 or 157 may not take MATH 151 for further credit.","","Prerequisite: Pre-Calculus 12 (or equivalent) with a grade of at least A, or MATH 100 with a grade of at least B, or achieving a satisfactory grade on the Simon Fraser University Calculus Readiness Test.","",TRUE,FALSE
"8","MATH 152","Calculus II","Riemann sum, Fundamental Theorem of Calculus, definite, indefinite and improper integrals, approximate integration, integration techniques, applications of integration. First-order separable differential equations and growth models. Sequences and series, series tests, power series, convergence and applications of power series.",3,"Students with credit for MATH 155 or 158 may not take this course for further credit.","","Prerequisite: MATH 150 or 151, with a minimum grade of C-; or MATH 154 or 157 with a grade of at least B.","",TRUE,FALSE
"9","MATH 154","Mathematics for the Life Sciences I","Designed for students specializing in the life sciences. Topics include: limits, growth rate and the derivative; elementary functions, optimization and approximation methods, and their applications, integration, and differential equations; mathematical models of biological processes and their implementation and analysis using software.",3,"Students with credit for either MATH 150, 151 or 157 may not take MATH 154 for further credit.","","Prerequisite: Pre-Calculus 12 (or equivalent) with a grade of at least B, or MATH 100 with a grade of at least C-, or achieving a satisfactory grade on the Simon Fraser University Calculus Readiness Test.","",TRUE,FALSE
"10","MATH 155","Mathematics for the Life Sciences II","Designed for students specializing in the life sciences. Topics include: vectors and matrices, partial derivatives, multi-dimensional integrals, systems of differential equations, compartment models, graphs and networks, and their applications to the life sciences; mathematical models of multi-component biological processes and their implementation and analysis using software.",3,"Students with credit for MATH 152 or 158 may not take this course for further credit.","","Prerequisite: MATH 150, 151 or 154, with a minimum grade of C-; or MATH 157 with a grade of at least B.","",TRUE,FALSE
