"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Breadth Category","Quantitative Requirement","Writing Requirement"
"1","MACM 101","Discrete Mathematics I","Introduction to counting, induction, automata theory, formal reasoning, modular arithmetic. Quantitative/",3,"","","Prerequisite: BC Math 12 (or equivalent), or any of MATH 100, 150, 151, 154, 157.","Breadth-Science.",FALSE,FALSE
"2","MACM 201","Discrete Mathematics II","A continuation of MACM 101. Topics covered include graph theory, trees, inclusion-exclusion, generating functions, recurrence relations, and optimization and matching.",3,"","","Prerequisite: MACM 101 or (ENSC 251 and one of MATH 232 or MATH 240).","",TRUE,FALSE
"3","MACM 203","Computing with Linear Algebra","Using a mathematical software package for doing calculations in linear algebra. Development of computer models that analyze and illustrate applications of linear algebra. All calculations and experiments will be done in the Matlab software package. Topics include: large-scale matrix calculations, experiments with cellular automata, indexing, searching and ranking pages on the internet, population models, data fitting and optimization, image analysis, and cryptography.",2,"Students in excess of 80 units may not take MACM 203 for further credit.","MATH 232 or 240 can be taken as corequisite.","Prerequisite: One of CMPT 102, 120, 126, 128 or 130 and one of MATH 150, 151, 154 or 157 and one of MATH 232 or 240.","",TRUE,FALSE
"4","MACM 204","Computing with Calculus","Using a mathematical software package for doing computations from calculus. Development of computer models that analyze and illustrate applications of calculus. All calculations and experiments will be done in the Maple software package. Topics include: graphing functions and data, preparing visual aids for illustrating mathematical concepts, integration, Taylor series, numerical approximation methods, 3D visualization of curves and surfaces, multi-dimensional optimization, differential equations and disease spread models.",2,"Students in excess of 80 units may not take MACM 204 for further credit.","MATH 251 can be taken as a corequisite.","Prerequisite: One of CMPT 102, 120, 126, 128 or 130 and MATH 251.","",TRUE,FALSE
"5","MACM 300","Introduction to Formal Languages and Automata with Applications","Languages, grammars, automata and their applications to natural and formal language processing.",3,"","","Prerequisite: MACM 201.","",TRUE,FALSE
"6","MACM 316","Numerical Analysis I","A presentation of the problems commonly arising in numerical analysis and scientific computing and the basic methods for their solutions.",3,"","","Prerequisite: MATH 152 or 155 or 158, and MATH 232 or 240, and computing experience.","",TRUE,FALSE
"7","MACM 401","Introduction to Computer Algebra","Data structures and algorithms for mathematical objects. Topics include long integer arithmetic, computing polynomial greatest common divisors, the fast Fourier transform, Hensel's lemma and p-adic methods, differentiation and simplification of formulae, and polynomial factorization. Students will use a computer algebra system such as Maple for calculations and programming.",3,"","","Prerequisite: CMPT 307 or ((MATH 340 or MATH 342) and (CMPT 225 or MACM 204)).","",TRUE,FALSE
"8","MACM 409","Numerical Linear Algebra: Algorithms, Implementation and Applications","Development of numerical methods for solving linear algebra problems at the heart of many scientific computing problems. Mathematical foundations for the use, implementation and analysis of the algorithms used for solving many optimization problems and differential equations.",3,"","","Prerequisite: MATH 251, MACM 316, programming experience.","",TRUE,FALSE
"9","MACM 416","Numerical Analysis II","The numerical solution of ordinary differential equations and elliptic, hyperbolic and parabolic partial differential equations will be considered.",3,"","","Prerequisite: (MATH 260 or MATH 310) and MACM 316.","",TRUE,FALSE
"10","MACM 442","Cryptography","An introduction to the subject of modern cryptography. Classical methods for cryptography and how to break them, the data encryption standard (DES), the advanced encryption standard (AES), the RSA and ElGammal public key cryptosystems, digital signatures, secure hash functions and pseudo-random number generation. Algorithms for computing with long integers including the use of probabilistic algorithms.",3,"Students with credit for MACM 498 between Fall 2003 and Spring 2006 may not take this course for further credit.","","Prerequisite: (CMPT 201 or 225) and one of (MATH 340 or 332 or 342); or CMPT 405.","",TRUE,FALSE
"11","MACM 498","Special Topics in Mathematics and Computing Science","Topics will vary from term to term depending on faculty availability and student interest.",3,"","","Prerequisite: Will be specified according to the particular topics offered under this course number.","",FALSE,FALSE
