"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Breadth Category","Quantitative Requirement","Writing Requirement"
"1","STAT 100","Chance and Data Analysis","Chance phenomena and data analysis are studied through simulation and examination of real world contexts including sports, investment, lotteries and environmental issues. Intended to be particularly accessible to students who are not specializing in Statistics.",3,"Students may not obtain credit for STAT 100 if they already have credit for - or are taking concurrently - any upper division STAT course.","","","Breadth-Science.",TRUE,FALSE
"2","STAT 180","Career Development Seminar for Statistics and Actuarial Science","A seminar primarily for students undertaking a major or an honours program in Statistics. Visiting speakers share experience relevant to Statistics students and provide useful education and career advice.",1,"","","Prerequisite: Enrollment in the Statistics or Actuarial Science major or honours program, or STAT 270 with a minimum grade of C-.","",FALSE,FALSE
"3","STAT 201","Statistics for the Life Sciences","Research methodology and associated statistical analysis techniques for students with training in the life sciences. Intended to be particularly accessible to students who are not specializing in Statistics.",3,"Students cannot obtain credit for STAT 201 if they already have credit for - or are taking concurrently - STAT 101, 203, 205, 285, or any upper division STAT course.","","Prerequisite: Recommended: 30 units.","",TRUE,FALSE
"4","STAT 203","Introduction to Statistics for the Social Sciences","Descriptive and inferential statistics aimed at students in the social sciences. Scales of measurement. Descriptive statistics. Measures of association. Hypothesis tests and confidence intervals. Students in Sociology and Anthropology are expected to take SA 255 before this course. Intended to be particularly accessible to students who are not specializing in Statistics.",3,"Students cannot obtain credit for STAT 203 if they already have credit for - or are taking concurrently - STAT 101, 201, 205, 285, or any upper division STAT course.","","Prerequisite: Recommended: 30 units including a research methods course such as SA 255, CRIM 220, POL 200W, or equivalent.","",TRUE,FALSE
"5","STAT 205","Introduction to Statistics","The collection, description, analysis and summary of data, including the concepts of frequency distribution, parameter estimation and hypothesis testing. Intended to be particularly accessible to students who are not specializing in Statistics.",3,"Students cannot obtain credit for STAT 205 if they already have credit for - or are taking concurrently - STAT 101, 201, 203, 285, or any upper division STAT course.","","Prerequisite: Recommended: 30 units.","",TRUE,FALSE
"6","STAT 240","Introduction to Data Science","Introduction to modern tools and methods for data acquisition, management, and visualization capable of scaling to Big Data. STAT 260 is also recommended.",3,"","","Prerequisite: One of STAT 201, STAT 203, STAT 205, STAT 270, BUS 232, or ECON 233, and one of CMPT 102, CMPT 120, CMPT 125, CMPT 128, CMPT 129, CMPT 130, all with a minimum grade of C- or permission of the instructor.","",TRUE,FALSE
"7","STAT 260","Introductory R for Data Science","An introduction to the R programming language for data science. Exploring data: visualization, transformation and summaries. Data wrangling: reading, tidying, and data types. No prior computer programming experience required.",2,"Students who have taken STAT 341 or STAT 360 first may not then take this course for further credit.","Corequisite: STAT 261.","Prerequisite: One of STAT 201, STAT 203, STAT 205, STAT 270, BUS 232, ECON 233, or POL 201, with a grade of at least C- or permission of the instructor.","",FALSE,FALSE
"8","STAT 261","Laboratory for Introductory R for Data Science","A hands-on application of the R programming language for data science. Using the R concepts covered in STAT 260, students will explore (visualize, transform, and summarize) and wrangle (read and tidy) data. No prior computer programming experience required.",1,"Students who have taken STAT 341 or STAT 360 first may not then take this course for further credit.","Corequisite: STAT 260.","Prerequisite: One of STAT 201, STAT 203, STAT 205, STAT 270, BUS 232, ECON 233, or POL 201, with a grade of at least C- or permission of the instructor.","",FALSE,FALSE
"9","STAT 270","Introduction to Probability and Statistics","Basic laws of probability, sample distributions. Introduction to statistical inference and applications. Students wishing an intuitive appreciation of a broad range of statistical strategies may wish to take STAT 100 first.",3,"","Corequisite: MATH 152 or 155 or 158, with a minimum grade of C-.","Prerequisite: or Corequisite: MATH 152 or 155 or 158, with a minimum grade of C-.","",TRUE,FALSE
"10","STAT 271","Probability and Statistics for Computing Science","This is an introductory course in probability and statistics that is designed for Computer Science students. Mainly covers basic probability theory and statistical methods for designing and analyzing computing algorithms and systems. Topics include continuous probability distributions, random variables, multivariate normal distributions, parameter estimation and inference theory, as well as design and analysis of statistical studies, including hypothesis testing and presentation of statistical data.",3,"","","Prerequisite: CMPT 210 with a minimum grade of C-.","",FALSE,FALSE
"11","STAT 285","Intermediate Probability and Statistics","This course is a continuation of STAT 270. Review of probability models. Procedures for statistical inference using survey results and experimental data. Statistical model building. Elementary design of experiments. Regression methods. Introduction to categorical data analysis.",3,"","","Prerequisite: STAT 270 and one of MATH 152, MATH 155, or MATH 158, all with a minimum grade of C-.","",TRUE,FALSE
"12","STAT 290","Selected Topics in Probability and Statistics","Topics in areas of probability and statistics not covered in the regular undergraduate curriculum of the department.",3,"","","Prerequisite: Dependent on the topic covered.","",FALSE,FALSE
"13","STAT 300W","Statistics Communication","Guided experiences in written and oral communication of statistical ideas and results with both scientific and lay audiences.",3,"","","Prerequisite: Admission to the major or honours programs in statistics; STAT 350 with a minimum grade of C- or permission of the instructor; prior completion of a lower division W course.","",FALSE,TRUE
