"","Requirement Category","Category Description","Category Minimum Credit Amount","Category Maximum Credit Amount","Core Course"
"1","Category F1","MAT137Y1 or​ MAT157Y1","6","6","FALSE"
"2","Category F2","MAT223H1 or​ MAT240H1","3","3","FALSE"
"3","Category F3","STA130H1","3","3","TRUE"
"4","Category F4","( CSC108H1 and CSC148H1) or ( CSC110Y1 and CSC111H1)","6","9","FALSE"
"5","Category F4A","( CSC108H1 and CSC148H1)","6","6","FALSE"
"6","Category F4B","( CSC110Y1 and CSC111H1)","9","9","FALSE"
"7","Category S1","MAT237Y1 or​ MAT257Y1","6","6","FALSE"
"8","Category S2","STA257H1","3","3","TRUE"
"9","Category S3","STA261H1","3","3","TRUE"
"10","Category S4","CSC207H1","3","3","TRUE"
"11","Category S5","( CSC165H1 and CSC236H1) or CSC236H1 or​ CSC240H1","3","6","FALSE"
"12","Category S5A","( CSC165H1 and CSC236H1)","6","6","FALSE"
"13","Category S5B","CSC236H1","3","3","FALSE"
"14","Category S5C","​ CSC240H1","3","3","FALSE"
"15","Category S6","JSC270H1 (Data Science I)","3","3","TRUE"
"16","Category U1","STA302H1","3","3","TRUE"
"17","Category U2","one of STA303H1 or STA305H1","3","3","FALSE"
"18","Category U3","STA355H1","3","3","TRUE"
"19","Category U4","CSC209H1","3","3","TRUE"
"20","Category U5","CSC263H1 or​ CSC265H1","3","3","FALSE"
"21","Category U6","CSC343H1","3","3","TRUE"
"22","Category U7","CSC373H1","3","3","TRUE"
"23","Category U8","JSC370H1 (Data Science II)","3","3","TRUE"
"24","Category U9","STA314H1 or​ CSC311H1 or​ CSC411H1","3","3","FALSE"
"25","General Category  1  ","2.0 credits from the following list, including at least 1.0 credit at the 400-level (see below for additional conditions): STA303H1 or​ STA305H1 (whichever one was not taken previously), STA347H1, CSC401H1, STA414H1 or​ CSC412H1, CSC413H1 or​ CSC421H1, any 400-level STA course; JSC470H1 (Data Science III); CSC454H1, CSC490H1, CSC491H1, CSC494H1, CSC495H1, CSC494Y1.","12","12","FALSE"
"26","General Category  2  ","If a student has not completed STA130H1 then an additional 0.5 credit 300+ level STA course that is not used towards any other program requirement must be completed.","0","3","FALSE"
