"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Recommended Courses","Hours","Lecture","Lab","Tutorial","Seminar","Breadth Requirement","Delivery Format","Distribution Requirement","Note"
"1","CSC110Y1","Foundations of Computer Science I","An introduction to the field of computer science combining the tools and techniques of programming (using the Python programming language) with rigorous mathematical analysis and reasoning. Topics include: data representations; program control flow (conditionals, loops, exceptions, functions); mathematical logic and formal proof; algorithms and running time analysis; software engineering principles (formal specification and design, testing and verification). Prior programming experience is not required to succeed in this course. This course is restricted to students in the first year Computer Science admission stream, and is only offered in the Fall term. Other students planning to pursue studies in computer science should enrol in CSC108H1, CSC148H1, and CSC165H1/ CSC240H1.","1.0","CSC108H1, CSC148H1, CSC165H1","","","","72L/24P",TRUE,TRUE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"2","CSC111H1","Foundations of Computer Science II","A continuation of CSC110Y1 to extend principles of programming and mathematical analysis to further topics in computer science. Topics include: object-oriented programming (design principles, encapsulation, composition and inheritance); binary representation of numbers; recursion and mathematical induction; abstract data types and data structures (stacks, queues, linked lists, trees, graphs); the limitations of computation. This course is restricted to students in the first year Computer Science admission stream, and is only offered in the Winter term. Other students planning to pursue studies in computer science should enrol in CSC108H1, CSC148H1, and CSC165H1/ CSC240H1.","0.5","CSC108H1, CSC148H1, CSC165H1","","CSC110Y1 (70% or higher)","","36L/24P",TRUE,TRUE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"3","MAT137Y1","Calculus with Proofs","A conceptual approach for students interest in theoretical foundations of mathematics. Attention is given to computational aspects as well as problem-solving techniques. Limits and continuity, mean value theorem, elementary transcendental functions including trigonometric functions, inverse function theorem, differentiation, integration, fundamental theorem of calculus, Taylor's theorem, sequences and series, power series, and applications. This course will be useful for students interested in learning theoretical calculus and proofs in relation to future studies in computer science, economics, mathematics, physics, and statistics.","1.0","MAT137Y5/ ( MATA30H3/ MATA31H3, MATA37H3)","","High school level calculus","","72L/24T",TRUE,FALSE,TRUE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"4","MAT157Y1","Analysis I","A theoretical course in calculus; emphasizing proofs and techniques. Elementary logic, limits and continuity, least upper bounds, intermediate and extreme value theorems. Derivatives, mean value and inverse function theorems. Integrals, fundamental theorem, elementary transcendental functions. Techniques of integration. Taylor's theorem; sequences and series; uniform convergence and power series. This course is required for the Mathematics Specialist, the Applied Mathematics Specialist, the Mathematics and Physics Specialist, and the Mathematics and Philosophy Specialist program and provides a strong theoretical mathematics background.","1.0","MAT157Y5","","High school level calculus","Recommended Preparation Preparing for University Math (PUMP) Level II. Students may also want to take MAT138H1 concurrently with MAT157Y1.","72L/48T",TRUE,FALSE,TRUE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"5","STA130H1","An Introduction to Statistical Reasoning and Data Science","This course, intended for students considering a program in Statistical Sciences, discusses the crucial role played by statistical reasoning in solving challenging problems from natural science, social science, technology, health care, and public policy, using a combination of logical thinking, mathematics, computer simulation, and oral and written discussion and analysis.","0.5","Any of STA220H1/ STA255H1/ STA238H1/ STA248H1/ STA261H1/ ECO220Y1/ ECO227Y1/ STAB22H3/ STA220H5/ STAB57H3/ STA258H5/ STA260H5/ ECO220Y5/ ECO227Y5/ STAA57H3 taken previously or concurrently","MAT135H1/ MAT136H1/ MAT137Y1/ MAT157Y1. Strongly recommended: CSC108H1/ CSC110Y1/ CSC120H1/ CSC148H1","","","24L/24P",TRUE,TRUE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"6","STA261H1","Probability and Statistics II","A rigorous introduction to the theory of statistical inference and to statistical practice. Statistical models, parameters, and samples. Estimators for parameters, sampling distributions for estimators, and the properties of consistency, bias, and variance. The likelihood function and the maximum likelihood estimator. Hypothesis tests and confidence regions. Examples illustrating statistical theory and its limitations. Introduction to the use of a computer environment for statistical analysis. (Note: STA261H1 does not count as a distribution requirement course).","0.5","ECO227Y1/ STA238H1/ STA248H1/ STAB57H3/ STA260H5/ ECO227Y5","MAT237Y1/ MAT257Y1/ MAT257Y5; MAT223H1/ MAT224H1/ MAT240H1/ MATA22H3/ MATA23H3/ MAT223H5/ MAT240H5/ MATB24H3/ MAT224H5","STA257H1/ STAB52H3/ STA256H5","","36L/12T",TRUE,FALSE,TRUE,FALSE,"The Physical and Mathematical Universes (5)","In Class","",""
"7","CSC148H1","Introduction to Computer Science","Abstract data types and data structures for implementing them. Linked data structures. Encapsulation and information-hiding. Object-oriented programming. Specifications. Analyzing the efficiency of programs. Recursion. This course assumes programming experience as provided by CSC108H1. Students who already have this background may consult the Computer Science Undergraduate Office for advice about skipping CSC108H1. Practical (P) sections consist of supervised work in the computing laboratory. These sections are offered when facilities are available, and attendance is required. NOTE: Students may go to their college to drop down from CSC148H1 to CSC108H1. See above for the drop down deadline.","0.5","CSC111H1, CSC207H1, CSC148H5, CSC207H5, CSCA48H3, CSCB07H3","","CSC108H1/(equivalent programming experience)","","36L/24P",TRUE,TRUE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"8","MAT223H1","Linear Algebra I","A first course on linear algebra in R^n emphasizing the interplay between algebraic and geometric perspectives. Topics include systems of equations, Gaussian elimination, representations of lines and planes, dot products, subspaces and translated subspaces, bases and change of basis, projections, the rank and nullity of a linear transformation, the rank/nullity/row space/column space of a matrix, matrix inverses, determinants, eigenvectors and eigenvalues, and matrix diagonalization. While not emphasizing proofs, this course does maintain a careful distinction between vectors and their representation in a basis as well as between matrices and linear transformations.","0.5","MAT223H5/ MATA22H3/ MATA23H3/ MAT224H1/ MAT224H5/ MATB24H3/ MAT240H1/ MAT240H5/ MAT247H1/ MAT247H5/ MAT185H1/ MAT188H1","","High school level calculus","","36L/12T",TRUE,FALSE,TRUE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"9","MAT240H1","Algebra I","A theoretical approach to: vector spaces over arbitrary fields, including C and Z_p. Subspaces, bases and dimension. Linear transformations, matrices, change of basis, similarity, determinants. Polynomials over a field (including unique factorization, resultants). Eigenvalues, eigenvectors, characteristic polynomial, diagonalization. Minimal polynomial, Cayley-Hamilton theorem.","0.5","MAT240H5","MAT157Y1","High school level calculus","","36L/24T",TRUE,FALSE,TRUE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"10","CSC108H1","Introduction to Computer Programming","Programming in a language such as Python. Elementary data types, lists, maps. Program structure: control flow, functions, classes, objects, methods. Algorithms and problem solving. Searching, sorting, and complexity. Unit testing. No prior programming experience required.NOTE: You may take CSC148H1 after CSC108H1. You may not take CSC108H1 in the same term as, or after taking, any of CSC110Y1/ CSC111H1/ CSC120H1/ CSC148H1.","0.5","CSC110Y1, CSC111H1, CSC120H1, CSC121H1, CSC148H1, CSC108H5, CSC148H5, CSCA08H3, CSCA20H3, CSCA48H3","","","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Online In Class","Science",""
