"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Recommended Preperation","Hours","Lecture","Lab","Seminar","Tutorial","Breadth Requirement","Distribution Requirement","Delivery Format","Note"
"1","MAT133Y1","Calculus and Linear Algebra for Commerce","Mathematics of finance. Matrices and linear equations. Review of differential calculus; applications. Integration and fundamental theorem; applications. Introduction to partial differentiation; applications. Course material expects at minimum high school calculus has been completed prior to undertaking course. This course will be useful for students interested in learning applied calculus in relation to future studies in commerce and/or social science programs. ",6,"MAT133Y5 or ( MATA32H3, MATA33H3)","","High school level calculus","","72L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"2","MAT135H1","Calculus I","In this first introduction to Calculus, students will be introduced to the tools of differential calculus, the branch of calculus that is motivated by the problem of measuring how quantities change. Students will use these tools to solve other problems, including simplifying functions with straight lines, describing how different types of change are related, and computing maximum and minimum quantities. This course will focus on developing a deep understanding of why the tools of calculus make sense and how to apply them to the social, biological, and physical sciences. It will also emphasize translating between algebraic, graphical, numerical and verbal descriptions of each concept studied. This course will be useful for students interested in learning applied calculus in relation to future studies in economics, life science, and physical and mathematical science programs. ",3,"MAT135H5 or MAT136H5 or MAT135Y5 or MATA30H3 or MATA31H3 or MATA36H3 or APS162H1 or APS163H1 or ESC194H1 or ESC195H1 or MAT186H1 or MAT187H1 or MAT196H1 or MAT197H1","","High school level calculus","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"3","MAT136H1","Calculus II","This second part of the introductory Calculus sequence focuses on integral calculus beginning with the Fundamental Theorem of Calculus, the connection between two seemingly unrelated problems: measuring changing quantities and finding areas of curved shapes. Students will develop a deep understanding of the integral, and use it to: unpack equations involving derivatives; to make sense of infinite sums; to write complicated functions as 'infinite polynomials'; and to compute areas, volumes, and totals in applied problems. This course will further develop students' abilities to translate between algebraic, graphical, numerical, and verbal descriptions of mathematics in a variety of applied contexts. This course is a continuation of MAT135H1 and will be useful for students interested in learning applied calculus in relation to future studies in economics, life science, and physical and mathematical science programs. ",3,"MAT136H5 or MAT135Y5 or MATA36H3 or APS163H1 or ESC195H1 or MAT187H1 or MAT197H1","","MAT135H1 or MAT135H5 or MATA30H3 or MATA31H3 or APS162H1 or ESC194H1 or MAT186H1 or MAT196H1","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"4","MAT137Y1","Calculus with Proofs","A conceptual approach for students interest in theoretical foundations of mathematics. Attention is given to computational aspects as well as problem-solving techniques. Limits and continuity, mean value theorem, elementary transcendental functions including trigonometric functions, inverse function theorem, differentiation, integration, fundamental theorem of calculus, Taylor's theorem, sequences and series, power series, and applications. This course will be useful for students interested in learning theoretical calculus and proofs in relation to future studies in computer science, economics, mathematics, physics, and statistics. ",6,"MAT137Y5 or ( MATA30H3 or MATA31H3, MATA37H3)","","High school level calculus","","72L/24T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"5","MAT138H1","Introduction to Proofs","The goal of this course is for students to become comfortable with abstraction, rigour, logic, and proofs. They will practice reading and understanding mathematical statements, analyzing definitions and properties, formulating conjectures and generalizations, providing and writing reasonable and precise arguments, writing and critiquing proofs. The instructor may use specific mathematical content, which could vary from year to year, to practice these skills. Students who take MAT135H1 and MAT136H1 and wish to take MAT237Y1 are required to take MAT138H1 prior to undertaking MAT237Y1. Students who are taking MAT137Y1 or MAT157Y1 and/or MAT240H1 and are interested in more preparation with logical arguments are encouraged to take MAT138H1 concurrently. ",3,"MAT137Y1 or MAT137Y5 or ( MATA30H3 or MATA31H3, MATA37H3) or MAT157Y1 or MAT157Y5","","High school level calculus","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"6","MAT157Y1","Analysis I","A theoretical course in calculus; emphasizing proofs and techniques. Elementary logic, limits and continuity, least upper bounds, intermediate and extreme value theorems. Derivatives, mean value and inverse function theorems. Integrals, fundamental theorem, elementary transcendental functions. Techniques of integration. Taylor's theorem; sequences and series; uniform convergence and power series. This course is required for the Mathematics Specialist, the Applied Mathematics Specialist, the Mathematics and Physics Specialist, and the Mathematics and Philosophy Specialist program and provides a strong theoretical mathematics background. ",6,"MAT157Y5","","High school level calculus","Preparing for University Math (PUMP) Level II. Students may also want to take MAT138H1 concurrently with MAT157Y1.","72L/48T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"7","MAT193H1","Women’s Mathematics","Mathematics has been shaped in significant ways by the work of outstanding female mathematicians such as Hypatia, Emmy Noether, Sofia Kovalevskaya, and Maryam Mirzakhani. Despite these successes, women still experience barriers to entering the field and participating at the highest levels. This course will blend an exploration of mathematics created by women with a study of the issue of women in mathematics. Students will have the opportunity to examine the complex factors that impact women’s participation in STEM, learn about the lives of female mathematicians, create their own mathematics, and sharpen their spatial cognition and logical thinking skills. Restricted to first-year students. Not eligible for CR/NCR option. ",3,"Not intended for students in a Mathematics Specialist or Major program.","","High school level algebra.","","36S",FALSE,FALSE,TRUE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"8","MAT198H1","Cryptology: The Mathematics of Secrecy and Security","How do we send our own confidential information through secure channels, and how can we break codes to uncover the secret information of our adversaries? The mathematical field of cryptology is dedicated to answering such questions. In this course we will study breakthroughs in cryptology, from secret messages in the ancient world and the Enigma cipher in World War II, to modern cryptosystems that facilitate online commerce. Along the way, you will develop a sophisticated understanding of how numbers interact and develop the ability to communicate messages secretly and mathematics clearly. Restricted to first-year students. Not eligible for CR/NCR option. ",3,"Not intended for students in a Mathematics Specialist or Major program.","","High school level algebra.","","24S",FALSE,FALSE,TRUE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"9","MAT199H1","Aha! Mathematical Discovery and Creative Problem Solving","This course is an exploration into the creative process and use of imagination as they arise in the context of mathematical problem solving. The problems, which are all at a pre-calculus level, are chosen primarily by the criterion of aesthetic appeal, and emphasize reasoning rather than technique. Still, many of them are quite challenging, and substantial independent thinking will be required, the course is therefore appropriate for students from a variety of backgrounds and disciplines, including hard sciences. Its goal will be to hone each participant's creativity and mathematical problem-solving skills while guiding them towards the `Aha!' experience which accompanies independent discovery. Restricted to first-year students. Not eligible for CR/NCR option. ",3,"","","High school level algebra","","36S",FALSE,FALSE,TRUE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"10","JUM202H1","Mathematics as an Interdisciplinary Pursuit","A study of the interaction of mathematics with other fields of inquiry: how mathematics influences, and is influenced by, the evolution of science and culture. Art, music, and literature, as well as the more traditionally related areas of the natural and social sciences may be considered. (Offered every three years) JUM202H1 is particularly suited as a Science Distribution Requirement course for Humanities and Social Science students. ",3,"JUM102H1","","","","24L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
