"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Recommended Preperation","Hours","Lecture","Lab","Seminar","Tutorial","Breadth Requirement","Distribution Requirement","Delivery Format","Note"
"1","STA130H1","An Introduction to Statistical Reasoning and Data Science","This course, intended for students considering a program in Statistical Sciences, discusses the crucial role played by statistical reasoning in solving challenging problems from natural science, social science, technology, health care, and public policy, using a combination of logical thinking, mathematics, computer simulation, and oral and written discussion and analysis. ",3,"Any of STA220H1 or STA255H1 or STA238H1 or STA248H1 or STA261H1 or ECO220Y1 or ECO227Y1 or STAB22H3 or STA220H5 or STAB57H3 or STA258H5 or STA260H5 or ECO220Y5 or ECO227Y5 or STAA57H3 taken previously or concurrently","MAT135H1 or MAT136H1 or MAT137Y1 or MAT157Y1. Strongly recommended: CSC108H1 or CSC110Y1 or CSC120H1 or CSC148H1","","","24L/24P",TRUE,TRUE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"2","STA197H1","Thinking Better with Statistics","This course explores how our statistical intuitions and ways of thinking can let us down. There’s no need to be a math whiz to be a better statistical thinker. Everyone can become a more critical consumer of claims presented in media, advertisements and by politicians—especially those relevant to our own health and wealth. This course uses real-world examples and tours common and avoidable statistical traps and tricks. Restricted to first-year students. Not eligible for CR/NCR option. ",3,"","","","","24S",FALSE,FALSE,TRUE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"3","STA198H1","Probabilities Everywhere","This course examines the meaning and mathematics of probabilities, and how they arise in our everyday lives. Specific topics may include: the nature of coincidences, the concept of luck, games involving dice and cards, long run averages in casinos, margins of error in polls, the interpretation of medical studies, crime statistics, decision making, pseudorandomness, and Monte Carlo algorithms. Restricted to first-year students. Not eligible for CR/NCR option. ",3,"","","Grade 12 Mathematics","","24S",FALSE,FALSE,TRUE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"4","STA199H1","Statistical Evidence: Truth or Myth?","This course explores the impact Statistics has made and continues to make on everyday life through science, law, and the modern methods for information processing. Statistical principles will be illustrated using examples from real life including business, romance and health. Restricted to first-year students. Not eligible for CR/NCR option. ",3,"","","","","24S",FALSE,FALSE,TRUE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"5","STA201H1","Why Numbers Matter","This course teaches non-science students the importance of quantitative reasoning to many different areas. It explores a variety of applications to such diverse subjects as economics, gambling, politics, poetry, graphics, music, medicine, demographics, sports, secret codes, and more, using only basic high school level mathematics combined with logical thinking. ",3,"MAT133Y1 or MAT135H1 or MAT136H1 or MAT137Y1 or MAT157Y1 or( MATA29H3, MATA35H3) or( MATA32H3, MATA33H3) or( MATA30H3, MATA36H3) or( MATA31H3, MATA37H3) or MAT133Y5 or( MAT132H5, MAT134H5) or( MAT135H5, MAT136H5) or MAT137Y5 or MAT157Y5","","","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"6","STA220H1","The Practice of Statistics I","An introductory course in statistical concepts and methods, emphasizing exploratory data analysis for univariate and bivariate data, sampling and experimental designs, basic probability models, estimation and tests of hypothesis in one-sample and comparative two-sample studies. A statistical computing package is used but no prior computing experience is assumed.  ",3,"ECO220Y1 or ECO227Y1 or GGR270H1 or PSY201H1 or SOC300Y1 or STA261H1 or STA238H1 or STA248H1 or STA288H1 or EEB225H1 or STAB22H3 or STAB57H3 or STA215H5 or STA220H5 or ECO220Y5 or ECO227Y5 or STA258H5 or STA260H5","","","Grade 12 Mathematics and one University course in BR= 3 or 4 or 5","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","","Online, In Class","STA220H1 does not count as a distribution requirement course."
"7","STA221H1","The Practice of Statistics II","Continuation of STA220H1 (or similar course), emphasizing major methods of data analysis such as analysis of variance for one factor and multiple factor designs, regression models, categorical and non-parametric methods ( ",3,"ECO220Y1 or ECO227Y1 or GGR270Y1 or PSY202H1 or SOC300H1 or SOC202H1 or SOC252H1 or STA261H1 or STA248H1 or STAB27H3 or STA221H5 or ECO220Y5 or ECO227Y5 or STAB57H3 or STA258H5 or STA260H5","","STA220H1 or STA288H1 or PSY201H1 or GGR270H1 or EEB225H1 or STAB22H3 or STA220H5","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","","In Class","STA221H1 does not count as a distribution requirement course)."
"8","STA237H1","Probability, Statistics and Data Analysis I","An introduction to probability using simulation and mathematical frameworks, with emphasis on the probability needed for more advanced study in statistical practice. Topics covered include probability spaces, random variables, discrete and continuous probability distributions, probability mass, density, and distribution functions, expectation and variance, independence, conditional probability, the law of large numbers, the central limit theorem, sampling distributions. Computer simulation will be taught and used extensively for calculations and to guide the theoretical development. ",3,"STA247H1, STA255H1, STA257H1, ECO227Y1, STAB52H3, STA256H5, ECO227Y5","","( MAT135H1, MAT136H1) or MAT137Y1 or MAT157Y1 or( MATA30H3, MATA36H3) or( MATA31H3, MATA37H3) or( MAT135H5, MAT136H5) or MAT137Y5 or MAT157Y5","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"9","STA238H1","Probability, Statistics and Data Analysis II","An introduction to statistical inference and practice. Statistical models and parameters, estimators of parameters and their statistical properties, methods of estimation, confidence intervals, hypothesis testing, likelihood function, the linear model. Use of statistical computation for data analysis and simulation. ",3,"ECO220Y1 or ECO227Y1 or GGR270H1 or PSY201H1 or SOC300H1 or SOC202H1 or SOC252H1 or STA220H1 or STA221H1 or STA255H1 or STA248H1 or STA261H1 or STA288H1 or EEB225H1 or STAB22H3 or STAB27H3 or STAB57H3 or STA220H5 or STA221H5 or STA258H5 or STA260H5 or ECO220Y5 or ECO227Y5","","STA237H1 or STA247H1 or STA257H1 or STAB52H3 or STA256H5","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"10","STA247H1","Probability with Computer Applications","An introduction to probability using simulation and mathematical frameworks, with emphasis on the probability needed for computer science applications and more advanced study in statistical practice. Topics covered include probability spaces, random variables, discrete and continuous probability distributions, probability mass, density, and distribution functions, expectation and variance, independence, conditional probability, the law of large numbers, the central limit theorem, sampling distributions. Computer simulation will be taught and used extensively for calculations and to guide the theoretical development. ",3,"ECO227Y1 or STA255H1 or STA237H1 or STA257H1 or STAB52H3 or STA256H5 or ECO227Y5","","( MAT135H1, MAT136H1) or MAT137Y1 or MAT157Y1 or( MATA30H3, MATA36H3) or( MATA31H3, MATA37H3) or( MAT135H5, MAT136H5) or MAT137Y5 or MAT157Y5; CSC111H1 or CSC148H1 or CSCA48H3 or CSC148H5","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","","In Class",""
