"","Course Code","Course Name","Course Description","Prerequisite","Antirequisite","Corequisite","Note","Other Information","Lecture","Lab","Test Slot","Tutorial","Project","Reading","Studio","Credit Amount"
"1","STAT 202","Introductory Statistics for Scientists","Elementary probability, populations, samples, and distributions with biological examples. Methods for data summary and presentation. Estimation, hypothesis testing, two-sample techniques and paired comparisons, regression, correlation. [Offered: F,W]","Prereq: Science or Knowledge Integration students only."," Antireq: STAT 220, 230","",""," ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"0.50"
"2","STAT 206","Statistics for Software Engineering","Empirical problem solving with applications to software engineering. An introduction to probability theory. An introduction to distribution theory and to methods of statistical inference, including confidence intervals and hypothesis testing. An introduction to regression. [Offered: F]","Prereq: MATH 115, 119; Software Eng students only.","","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"3","STAT 211","Introductory Statistics and Sampling for Accounting","Descriptive statistics, probability, discrete and continuous random variables. Sampling distributions and simple hypothesis testing. Introduction to survey sampling. [Offered: W]","Prereq: MATH 109; Arts/Acc and SciBiot/CA students only.","","",""," ",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"4","STAT 220","Probability (Non-Specialist Level)","The laws of probability, discrete and continuous random variables, expectation, central limit theorem. [Offered: F,W]","Prereq: One of MATH 118, 119, 128, 138, 148."," Antireq: STAT 202, 230, 240","",""," ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"0.50"
"5","STAT 221","Statistics (Non-Specialist Level)","Empirical problem solving, measurement systems, causal relationships, statistical models, estimation, confidence intervals, tests of significance. [Offered: F, W]","Prereq: (One of MATH 128, 138, 148) & (One of STAT 220, 230, 240)."," Antireq: STAT 231, STAT 241.","",""," ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"0.50"
"6","STAT 230","Probability","This course provides an introduction to probability models including sample spaces, mutually exclusive and independent events, conditional probability and Bayes' Theorem. The named distributions (Discrete Uniform, Hypergeometric, Binomial, Negative Binomial, Geometric, Poisson, Continuous Uniform, Exponential, Normal (Gaussian), and Multinomial) are used to model real phenomena. Discrete and continuous univariate random variables and their distributions are discussed. Joint probability functions, marginal probability functions, and conditional probability functions of two or more discrete random variables and functions of random variables are also discussed. Students learn how to calculate and interpret means, variances and covariances particularly for the named distributions. The Central Limit Theorem is used to approximate probabilities.","Prereq: ((One of MATH 116, 117, 137, 147) with a minimum grade of 80%) or (MATH 128 with a minimum grade of 60%) or (one of MATH 118, 119, 138, 148); Honours Math or Math/Phys students only."," Antireq: STAT 220, 240","","[Note: Many upper-year Statistics courses require a grade of at least 60% in STAT 230. Offered: F,W,S]"," Also offered Online",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"0.50"
"7","STAT 231","Statistics","This course provides a systematic approach to empirical problem solving which will enable students to critically assess the sampling protocol and conclusions of an empirical study including the possible sources of error in the study and whether evidence of a causal relationship can be reasonably concluded. The connection between the attributes of a population and the parameters in the named distributions covered in STAT 230 will be emphasized. Numerical and graphical techniques for summarizing data and checking the fit of a statistical model will be discussed. The method of maximum likelihood will be used to obtain point and interval estimates for the parameters of interest as well as testing hypotheses. The interpretation of confidence intervals and p-values will be emphasized. The Chi-squared and t distributions will be introduced and used to construct confidence intervals and tests of hypotheses including likelihood ratio tests. Contingency tables and Gaussian response models including the two sample Gaussian and simple linear regression will be used as examples.","Prereq: (One of MATH 118, 119, 128, 138, 148) and (STAT 220 with a grade of at least 70% or STAT 230 or 240); Honours Math or Math/Phys students."," Antireq: STAT 221, 241","","[Note: Many upper-year Statistics courses require a grade of at least 60% in STAT 231. Offered: F,W,S]"," Also offered Online",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"0.50"
"8","STAT 240","Probability (Advanced Level)","STAT 240 is an advanced-level enriched version of STAT 230. [Offered: F]","Prereq: ((MATH 137 or 147) with a grade of at least 80%) or (MATH 138 or 148); Honours Mathematics students only."," Antireq: STAT 220, 230","",""," ",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0.50"
"9","STAT 241","Statistics (Advanced Level)","STAT 241 is an advanced-level enriched version of STAT 231.","Prereq: MATH 138/148 & STAT 230/240; Hon Math only."," Antireq: STAT 221,231.","","[Note: Students with a cumulative math average of at least 80% are encouraged to register in STAT 241. Offered: W]"," ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"0.50"
"10","STAT 316","Introduction to Statistical Problem Solving","This is an applications oriented course which prepares the nonmathematical student to use statistical software as a research tool. Topics include aids for statistical analysis and the preparation of documents such as reports and theses. The course provides sufficient background for application to other problems specific to the individual's field. [Offered: W]","Prereq: One of ECON 221, ENVS 278, HLTH 204, SDS 250R, KIN 232, PSCI 214/314, PSYCH 292, REC 371, SOC/LS 280, any STAT course; Not open to Honours Mathematics students."," Antireq: STAT 331, 371","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"11","STAT 321","Regression and Forecasting (Non-Specialist Level)","Modeling the relationship between a response variable and several explanatory variables via regression models. Model diagnostics and improvement. Using regression models for forecasting, Exponential smoothing. Simple time series modeling. [Offered: W]","Prereq: (One of MATH 225, 235, 245) and (One of STAT 221, 231, 241)."," Antireq: STAT 331, 371, 373, 443","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"12","STAT 322","Sampling and Experimental Design (Non-Specialist Level)","Planning sample surveys; simple random sampling; stratified sampling. Observational and experimental studies. Blocking, randomization, factorial designs. Analysis of variance. Applications of design principles. [Offered: F]","Prereq: STAT 221 or 231 or 241."," Antireq: STAT 332, 372","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"13","STAT 330","Mathematical Statistics","This course provides a mathematically rigorous treatment for topics covered in STAT 230 and 231, and to make essential extensions to the multivariate case. Maximum likelihood estimation. Random variables and distribution theory. Generating functions. Functions of random variables. Limiting distributions. Large sample theory of likelihood methods. Likelihood ratio tests. Joint probability (density) functions, marginal probability (density) functions, and conditional probability (density) functions of two or more random variables are discussed. Topics covered include independence of random variables, conditional expectation and the determination of the distribution of functions of random variables using the cumulative distribution method, change of variable and moment generating functions. Properties of the Multinomial and Bivariate Normal distributions are proved. Limiting distributions, including convergence in probability and convergence in distribution, are discussed. Important results, including the Weak Law of Large Numbers, Central Limit Theorem, Slutsky's theorem, and the Delta Method, are introduced with applications. The maximum likelihood method is discussed for the multi-parameter case. Asymptotic properties of the maximum likelihood estimator are examined and used to construct confidence intervals or regions. Tests for simple and composite hypotheses are constructed using the Likelihood Ratio Test. [Offered: F,W,S]","Prereq: MATH 237 or 247, (STAT 230 with a grade of at least 60% or STAT 240), STAT 231 or 241."," Antireq: STAT 334","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"14","STAT 331","Applied Linear Models","Modeling the relationship between a response variable and several explanatory variables (an output-input system) via regression models. Least squares algorithm for estimation of parameters. Hypothesis testing and prediction. Model diagnostics and improvement. Algorithms for variable selection. Nonlinear regression and other methods. [Offered: F,W,S]","Prereq: MATH 235 or 245, (STAT 231 with a grade of at least 60%) or STAT 241 or (SYDE 212 with a grade of at least 70%)."," Antireq: ECON 421, STAT 321, 371, 373, SYDE 334","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"15","STAT 332","Sampling and Experimental Design","Designing sample surveys. Probability sampling designs. Estimation with elementary designs. Observational and experimental studies. Blocking, randomization, factorial designs. Analysis of variance. Designing for comparison of groups. [Offered: F,W,S]","Prereq: (STAT 231 with a grade of at least 60%) or STAT 241 or (SYDE 212 with a grade of at least 70%)."," Antireq: BIOL 361, STAT 322, 372","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
