"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Hours","Lecture","Lab","Tutorial","Breadth Requirement","Note"
"1","Computer Science 1025A/B","Computer Science Fundamentals I","The nature of Computer Science as a discipline; the design and analysis of algorithms and their implementation as modular, reliable, well-documented programs written in a modern programming language. Intended for students with significant programming experience in at least one high-level block-structured or object-oriented language.",3,"Computer Science 1026A/B, Computer Science 2120A/B, Data Science 1200A/B, Engineering Science 1036A/B, Digital Humanities 2220A/B.","","","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"2","Computer Science 1026A/B","Computer Science Fundamentals I","The nature of Computer Science as a discipline; the design and analysis of algorithms and their implementation as modular, reliable, well-documented programs written in a modern programming language. Intended for students with little or no background in programming.",3,"Computer Science 1025A/B, Computer Science 2120A/B, Data Science 1200A/B, Engineering Science 1036A/B, Digital Humanities 2220A/B.","","","3 lecture hours, 2 laboratory/tutorial hours",TRUE,TRUE,FALSE,"Category C",""
"3","Computer Science 1027A/B","Computer Science Fundamentals Ii","A continuation for both Computer Science 1025A/B and Computer Science 1026A/B. Data organization and manipulation; abstract data types and their implementations in a modern programming language; lists, stacks, queues, trees; recursion; file handling and storage.",3,"Computer Science 1037A/B, Computer Science 2121A/B, Digital Humanities 2221A/B.","","Computer Science 1025A/B, Computer Science 1026A/B, Data Science 1200A/B, or Engineering Science 1036A/B, (in each case with a mark of at least 65%)","3 lecture hours, 1 laboratory/tutorial hour",TRUE,TRUE,FALSE,"Category C",""
"4","Computer Science 1032A/B","Information Systems And Design","Techniques used for determining technological needs of businesses; building and managing systems to meet those needs; development roles of individuals and organizations; planning and management of concepts, personnel and processes; related software tools (spreadsheets, databases). Intended primarily for Management and Organizational Studies students.",3,"Management and Organizational Studies 1033A/B.","","","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"5","Computer Science 1033A/B","Multimedia And Communication I","This course explores the use of different types of media (e.g., text, images, sound, animation) to convey ideas and facilitate interaction. Topics include the design and use of a range of software tools for media creation and editing, covering image, sound, animation and video. This knowledge will be applied to authoring web sites.",3,"","","","2 lecture hours, 2 laboratory/tutorial hours",TRUE,TRUE,FALSE,"Category C",""
"6","Computer Science 1037A/B","Computer Science Fundamentals Ii","A continuation for Engineering Science 1036A/B. Data organization and manipulation; abstract data types and their implementations in the C programming language; lists, stacks, queues, trees; pointers; recursion; file handling and storage. Intended for students in the Faculty of Engineering.",3,"Computer Science 1027A/B, Computer Science 2121A/B, Digital Humanities 2221A/B.","","Engineering Science 1036A/B","3 lecture hours, 2 laboratory/tutorial hour",TRUE,TRUE,FALSE,"Category C",""
"7","Computer Science 1046A/B","Approachable Apps: An Introduction To Programming Using Javascript","Foundations of app development for the web and mobile devices. An introduction to basic programming and scripting concepts, and technologies such as JavaScript, HTML, and CSS, which will be used to create a variety of apps and games. This course is intended for students with no prior programming or computing background.",3,"Computer Science 1025A/B, Computer Science 1026A/B, Computer Science 2120A/B, Data Science 1200A/B, Engineering Science 1036A/B and Software Engineering 2202A/B.","","","2 lecture hours, 2 laboratory/tutorial hours",TRUE,TRUE,FALSE,"Category C",""
"8","Computer Science 2033A/B","Multimedia And Communication Ii","This course continues the exploration of popular media and Internet technologies. Topics include advanced photo editing techniques; website development with HTML, CSS, and JavaScript; making websites more interactive; form validation; Bootstrap websites; and the significance of CMS's and e-commerce platforms.",3,"","","Computer Science 1033A/B","2 lecture hours, 2 laboratory/tutorial hours",TRUE,TRUE,FALSE,"Category C",""
"9","Computer Science 2034A/B","Data Analytics: Principles And Tools","A comprehensive and interdisciplinary introduction to data analytics using modern computing systems, with equal attention to fundamentals and practical aspects. Topics include sources of data, data formats and transformation, usage of spreadsheets and databases, statistical analysis, pattern recognition, data mining, big data, and methods for data presentation and visualization.",3,"Digital Humanities 2144A/B, Earth Sciences 2222A/B.","","","2 lecture hours, 2 laboratory/tutorial hours",TRUE,TRUE,FALSE,"Category C",""
"10","Computer Science 2035A/B","Dealing With Data: Analysis And Visualization","Essential skills and computational tools for working with data from a number of disciplines. Uses MATLAB for data analysis and visualization through basic statistics, numerical computing, and programming, with interdisciplinary applications ranging from image processing to financial computing, and more. Suitable for both Computer Science and non-Computer Science students.",3,"Earth Sciences 2222A/B.","","0.5 course in Applied Mathematics, Calculus, Mathematics, Statistics (including Introductory Statistics) at the 1000-level or above","3 lecture hours, 1 laboratory/tutorial hour",TRUE,TRUE,FALSE,"Category C",""
"11","Computer Science 2120A/B","Modern Survival Skills I: Coding Essentials","Essential information processing and coding skills for students. Includes core concepts of algorithms and data structures; creating programs and scripts to address problems that arise in applied research; examples of data sets and analyses drawn from a variety of disciplines. No previous programming background assumed.",3,"Computer Science 1025A/B or Computer Science 1026A/B, Data Science 1200A/B, Engineering Science 1036A/B, Digital Humanities 2220A/B.","","","3 lecture hours, 2 laboratory/tutorial hours",TRUE,TRUE,FALSE,"Category C",""
"12","Computer Science 2121A/B","Modern Survival Skills Ii: Problem Solving Through Programming","An overview of core data structures and algorithms in computing, with a focus on applications to informatics and analytics in a variety of disciplines. Includes lists, stacks, queues, trees, graphs, and their associated algorithms; sorting, searching, and hashing techniques. Suitable for non-Computer Science students.",3,"Computer Science 1027A/B, Computer Science 1037A/B, Digital Humanities 2221A/B.","","Computer Science 2120A/B, Digital Humanities 2220A/B, or Integrated Science 1001X with at least 60%","3 lecture hours, 1 laboratory/tutorial hours",TRUE,TRUE,FALSE,"Category C",""
"13","Computer Science 2208A/B","Introduction To Computer Organization And Architecture","This course gives an understanding of what a modern computer can do. It covers the internal representation of various data types and focuses on the architectural components of computers (how these components are interconnected and the nature of the information flow between them). Assembly language is used to reinforce these issues.",3,"","","Computer Science 1027A/B, Computer Science 1037A/B, or the former Computer Science 2101A/B, in each case with at least 65%; or Integrated Science 1001X with at least 60%","3 lecture hours, 1 laboratory hour, 1 tutorial hour",TRUE,TRUE,TRUE,"Category C",""
