"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Hours","Lecture","Lab","Tutorial","Breadth Requirement","Note"
"1","Mathematics 0110A/B","Introductory Calculus","Introduction to differential calculus including limits, continuity, definition of derivative, rules for differentiation, implicit differentiation, velocity, acceleration, related rates, maxima and minima, exponential functions, logarithmic functions, differentiation of exponential and logarithmic functions, curve sketching.",3,"Mathematics 1225A/B, Mathematics 1230A/B, Calculus 1000A/B, Calculus 1500A/B, Numerical and Mathematical Methods 1412A/B, the former Applied Mathematics 1412A/B, the former Applied Mathematics 1413.","","One or more of Ontario Secondary School MCF3M, MCR3U, or equivalent","4 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"2","Mathematics 1120A/B","Fundamental Concepts In Mathematics","Primarily for students interested in pursuing a degree in one of the mathematical sciences. Logic, set theory, relations, functions and operations, careful study of the integers, discussion of the real and complex numbers, polynomials, and infinite sets.",3,"Mathematics 2155F/G, or the former Mathematics 2155A/B.","","One or more of Ontario Secondary School MCV4U, Mathematics 1600A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"3","Mathematics 1225A/B","Methods Of Calculus","Elementary techniques of integration; applications of Calculus such as area, volume, and differential equations; functions of several variables, Lagrange multipliers. This course is intended primarily for students in the Social Sciences, but may meet minimum requirements for some Science modules. It may not be used as a prerequisite for any Calculus course numbered 1300 or above.",3,"Applied Mathematics 1201A/B, Calculus 1301A/B, Calculus 1501A/B, Mathematics 1230A/B, Numerical and Mathematical Methods 1412A/B, the former Applied Mathematics 1412A/B, the former Applied Mathematics 1413. If Calculus 1000A/B or Calculus 1500A/B was completed after September 1, 2016 it is an antirequisite, but not if it was completed before that time.","","Ontario Secondary School MCV4U or Mathematics 0110A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"4","Mathematics 1228A/B","Methods Of Finite Mathematics","Permutations and combinations; probability theory. This course is intended primarily for students in the Social Sciences, but may meet minimum requirements for some Science modules.",3,"Mathematics 2124A/B, Mathematics 2155F/G, Statistical Sciences 2035, Statistical Sciences 2141A/B, Statistical Sciences 2857A/B.","","One or more of Ontario Secondary School MCV4U, MHF4U, MDM4U, Mathematics 0110A/B, Mathematics 1225A/B, Mathematics 1229A/B","2 lecture hours, 1 tutorial hour (Main campus); 3 lecture hours (Brescia, Huron, King's)",TRUE,FALSE,TRUE,"Category C",""
"5","Mathematics 1229A/B","Methods Of Matrix Algebra","Matrix algebra including vectors and matrices, linear equations, determinants. This course is intended primarily for students in the Social Sciences, but may meet minimum requirements for some Science modules.",3,"Applied Mathematics 2811B, Mathematics 1600A/B, Mathematics 2120A/B, Mathematics 2155F/G, Mathematics 2211A/B, Numerical and Mathematical Methods 1411A/B, or the former Applied Mathematics 1411A/B.","","One or more of Ontario Secondary School MCF3M, MCR3U, or equivalent","2 lecture hours, 1 tutorial hour (Main campus); 3 lecture hours (Brescia, Huron, King's)",TRUE,FALSE,TRUE,"Category C",""
"6","Mathematics 1600A/B","Linear Algebra I","Properties and applications of vectors; matrix algebra; solving systems of linear equations; determinants; vector spaces; orthogonality; eigenvalues and eigenvectors.",3,"Numerical and Mathematical Methods 1411A/B, Applied Mathematics 2811A/B, the former Applied Mathematics 1411A/B.","","One or more of Ontario Secondary School MCV4U, Mathematics 1229A/B, Calculus 1000A/B or Calculus 1500A/B","3 lecture hours, 1 laboratory hour",TRUE,TRUE,FALSE,"Category C",""
"7","Mathematics 2120A/B","Intermediate Linear Algebra","A rigorous development of lines and planes in Rn; linear transformations and abstract vector spaces. Determinants and an introduction to diagonalization and its applications including the characteristic polynomials, eigenvalues and eigenvectors.",3,"The former Mathematics 2211A/B.","","Mathematics 1600A/B","3 lecture hours, 1 tutorial hour",TRUE,FALSE,TRUE,"Category C",""
"8","Mathematics 2122A/B","Real Analysis I","A rigorous introduction to analysis on the real line. Sets and functions, logic and mathematical proof, the natural and real numbers, completeness and its consequences, limits of sequences, limits of real functions, continuity and uniform continuity.",3,"","","A minimum mark of 60% in one of Calculus 1501A/B, or Numerical and Mathematical Methods 1414A/B, the former Applied Mathematics 1414A/B, or the former Applied Mathematics 1413, or a minimum mark of 85% in Calculus 1301A/B","3 lecture hours, 1 tutorial hour",TRUE,FALSE,TRUE,"Category C",""
"9","Mathematics 2124A/B","Introduction To Mathematical Problems","Primarily for Mathematics students, but will interest other students with ability in and curiosity about mathematics in the modern world as well as in the past. Stresses development of students' abilities to solve problems and construct proofs. Topics will be selected from: counting, recurrence, induction; number theory; graph theory; parity, symmetry; geometry.",3,"","","A minimum mark of 60% in one of Calculus 1501A/B, Numerical and Mathematical Methods 1414A/B, the former Applied Mathematics 1414A/B, the former Applied Mathematics 1413, or a minimum mark of 85% in Calculus 1301A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"10","Mathematics 2151A/B","Discrete Structures For Engineering","Logic, sets and functions, algorithms, mathematical reasoning, counting, relations, graphs, trees, Boolean Algebra, computation, modeling.",3,"Computer Science 2214A/B, Mathematics 2155F/G.","","Computer Science 1026A/B or Engineering Science 1036A/B, in each case with at least 60%, and 1.0 courses with at least 60% in each from: Numerical and Mathematical Methods 1411A/B or the former Applied Mathematics 1411A/B, Numerical and Mathematical Methods 1412A/B or the former Applied Mathematics 1412A/B, Numerical and Mathematical Methods 1414A/B or the former Applied Mathematics 1414A/B, or the former Applied Mathematics 1413A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C","this course is offered only to software engineering students enrolled in the Faculty of Engineering"
