"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Hours","Lecture","Lab","Tutorial","Breadth Requirement","Note"
"1","Software Engineering 2202A/B","Scripting Programming Language Fundamentals","This course is intended to explore the concepts of scripting programming using JavaScript including variable, flow control, expressions, arrays, and objects, to allow students writing functions using objects, properties and methods needed to deliver simple interactive web-based programs. The course also includes coverage of basic HTML and CSS and discusses topics such as the best-practice JavaScript programming patterns.",3,"Computer Science 1046A/B.","","Engineering Science 1036A/B","3 lecture hours, 2 laboratory/tutorial hours",TRUE,TRUE,FALSE,"Category C",""
"2","Software Engineering 2203A/B","Software Design","Object Oriented Design (OOD) using the Unified Modeling Language. Importance of the design process in the software life cycle. Review of traditional software design methods leading into fundamental OOD principles and practices. Reusability, use of tool sets and standards are stressed. Brief coverage of user-interface design, real-time and distributed systems, architectural design.",3,"","","Computer Science 1026A/B or Engineering Science 1036A/B","3 lecture hours, 3 laboratory hours",TRUE,TRUE,FALSE,"Category C",""
"3","Software Engineering 2205A/B","Algorithms & Data Structure For Object-Oriented Design","Survey of important computer algorithms and related data structures used in object-oriented software engineering. Design, performance analysis and implementation of such algorithms, stressing their practical use and performance certification of large software applications. Understand how to ""seal"" designs to guarantee performance goals and insure that all error conditions are caught.",3,"Computer Science 2210A/B.","","Computer Science 1026A/B or Engineering Science 1036A/B","3 lecture hours, 2 laboratory hours",TRUE,TRUE,FALSE,"Category C",""
"4","Software Engineering 2250A/B","Software Construction","Provides an in depth look at the implementation and test phases of the software construction process. This project based course provides hands-on experience on various aspects of software construction including practical experience on software construction tool chain, testing and debugging tools as well as change management tools.",3,"","","Computer Science 1026A/B or Engineering Science 1036A/B","2 lecture hours, 2 laboratory hours",TRUE,TRUE,FALSE,"Category C",""
"5","Software Engineering 2251A/B","Software Design For Systems Engineering","SE 2251 is a group project illustrating the design and implementation the software engineering design concepts. It covers the integration with third-party applications and big data sources. Real-time and distributed systems, architectural design will be briefly covered.",3,"SE 2203A/B, Computer Science 2212A/B/Y.","","Engineering Science 1036A/B or Computer Science 1026A/B, Software Engineering 2205A/B","3 lecture hours/week, 3 lab hour/week",TRUE,TRUE,FALSE,"Category C",""
"6","Software Engineering 3309A/B","Database Management Systems","The focus is to teach database fundamentals required in the development and evolution of most software applications by providing a basic introduction to the principles of relational database management systems such as Entity-Relationship approach to data modeling, relational model of database management systems and the use of query languages.",3,"Computer Science 3319A/B, Computer Science 3120A/B.","","SE 2203A/B, SE 2205A/B","3 lecture hours/week, 2 laboratory hours/week",TRUE,TRUE,FALSE,"Category C",""
"7","Software Engineering 3310A/B","Theoretical Foundations Of Software Engineering","An investigation into the theoretical foundations of Software Engineering including automata theory, computability, analysis of algorithms and the application of formal specification methods to software specification.",3,"Computer Science 3331A/B, Computer Science 3340A/B.","","","3 lecture hours, 2 tutorial hours",TRUE,FALSE,TRUE,"Category C",""
"8","Software Engineering 3313A/B","Operating Systems For Software Engineerng","Theory and construction of operating systems, including real-time and embedded systems aspect from an engineering point of view, stressing performance measurement and metrics. Quality of Service issues leading to certification that an operating system will satisfy hard real-time constraints.",3,"Computer Science 3305A/B.","","SE 2203A/B, SE 2205A/B or Computer Science 2210A/B","3 lecture hours, 2 laboratory hours",TRUE,TRUE,FALSE,"Category C",""
"9","Software Engineering 3314A/B","Computer Networks Applications","This course examines and introduces advanced concepts in computer network and data communications. Topics include mobile and wireless data communications, multimedia networking, network management, distributed computing and clusters, and peer to peer network applications.",3,"","","ECE 4436A/B","3 lecture hours, 2 laboratory hours",TRUE,TRUE,FALSE,"Category C",""
"10","Software Engineering 3316A/B","Web Technologies","Technologies, protocols and architectures of the Internet. From HTML, XML, JavaScript to paradigms such as ReST and AJAX and software frameworks for developing modern web applications and integrating services from 3rd parties. We will also look at semantic web, business implications of these protocols as well as legal, ethical and social issues surrounding these technologies.",3,"","ECE 4436A/B, or Computer Science 3357A/B","SE 2202A/B, SE 2205A/B or Computer Science 2210A/B","3 lecture hours, 2 laboratory hours",TRUE,TRUE,FALSE,"Category C",""
